MSFT US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,262,420,108,18,6,12,33,9,18,15,80,45,107,82,64,90,40,22,56,36,30,16,-358,9,26,95,53,,,,1110,18,21,15,40,6,-4,,30,,7,,9,4,1,7,5,3,,10,-5,3,5,45,134,18,1171,,,6,18,-3,-8,
"Pretax Income (Loss), GAAP",PRETAX_INC,110.546,117.57,127,163.5,179.5,200.644,211.7,257.7,262.9,308.965,307,347,357,390,362,438,382,540,471,557,592,547,770,885,864,860,945,1140,1603,1626,1202,1770,2057,2088,2503,3051,2949,3388,3320,3691,3613,3651,3852,3917,3658,-33,1887,3357,4026,2243,3047,2596,3197,2214,3901,2312,2279,3227,3773,5169,3825,3861,4552,5137,4315,4553,5041,3805,6971,4284,6216,6820,4810,5968,5991,5638,4050,4142,4765,8883,5341,6024,7230,8497,6025,6319,7306,8239,6363,359,5534,7770,7603,6145,6408,7878,6957,6577,5896,7850,6517,-1756,6021,7313,6065,6240,6827,8022,7094,7958,7984,9169,8641,10680,10221,10385,10486,12596,12686,14085,12843,13422,16124,18337,17236,19405,20524,22515,20190,20487,21572,20339,22673,24727,27284,26526,26727,27250,
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,35.377,37.6162,39.4,50.6,55.7,62.201,67.7,82.5,84.1,98.905,98,111,114,125,123,149,126,178,155,184,196,179,271,310,302,301,331,399,561,569,539,637,720,731,820,1068,1032,1186,1129,1255,1228,1242,1271,1293,1207,32,604,1074,1288,718,1006,731,1055,731,1287,763,964,1014,1245,1706,1262,161,1411,1484,1338,1430,1563,1179,2045,1249,1927,2113,422,1671,1618,1464,1073,1097,1191,2221,1335,1506,1820,1863,793,445,1568,1615,1255,851,1068,1393,1548,1180,1164,1320,1297,1965,1356,1987,1532,1439,952,1375,1760,1013,1160,1755,1608,-111,1408,15471,1217,1807,1397,1965,1677,-591,2008,2436,2091,2220,2231,2874,1779,2947,19,3750,3462,3747,4016,3914,4374,4646,4993,4656,4788,5214,
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,75.169,79.953,87.6,112.9,123.8,138.443,144,175.2,178.8,210.06,209,236,243,265,239,289,256,362,316,373,396,368,499,575,562,559,614,741,1042,1057,663,1133,1337,1357,1683,1983,1917,2202,2191,2436,2385,2409,2581,2624,2451,65,1283,2283,2738,1525,2041,1865,2142,1483,2614,1549,1315,2690,2528,3463,2563,3700,3141,3653,2977,2828,3478,2626,4926,3035,4289,4707,4388,4297,4373,4174,2977,3045,3574,6662,4006,4518,5410,6634,5232,5874,5738,6624,5108,-492,4466,6377,6055,4965,5244,6558,5660,4612,4540,5863,4985,-3195,5069,5938,4305,5227,5667,6267,5486,8069,6576,-6302,7424,8873,8824,8420,8809,13187,10678,11649,10752,11202,13893,15463,15457,16458,20505,18765,16728,16740,17556,16425,18299,20081,22291,21870,21939,22036,
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,75.169,79.9538,87.6,112.9,123.8,138.443,144,175.2,178.8,210.06,209,236,243,265,239,289,256,362,316,373,396,368,499,575,562,559,614,741,1042,1057,663,1133,1337,1357,1683,1983,1917,2202,2191,2436,2385,2409,2391,2624,2451,-65,1283,2283,2738,1525,2041,1865,2142,1483,2614,1549,1315,2213,2528,3463,2563,3700,3141,3653,2977,3123,3478,2626,4926,3035,4289,4707,4388,4297,4373,4174,2977,3045,3574,6662,4006,4518,5410,6634,5232,5874,5738,6624,5108,-492,4466,6377,6055,4965,5244,6558,5660,4612,4540,5863,4985,-3195,5069,5938,4305,5227,5667,6267,5486,8069,6576,-6302,7424,8873,8824,8420,8809,13187,10678,11649,10752,11202,13893,15463,15457,16458,20505,18765,16728,16740,17556,16425,18299,20081,22291,21870,21939,22036,
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income, GAAP",NET_INCOME,75.169,79.953,87.6,112.9,123.8,138.443,144,175.2,178.8,210.06,209,236,243,265,239,289,256,362,316,373,396,368,499,575,562,559,614,741,1042,1057,663,1133,1337,1357,1683,1983,1917,2202,2191,2436,2385,2409,2206,2624,2451,65,1283,2283,2738,1525,2041,1865,2142,1483,2614,1549,1315,2690,2528,3463,2563,3700,3141,3653,2977,2828,3478,2626,4926,3035,4289,4707,4388,4297,4373,4174,2977,3045,3574,6662,4006,4518,5410,6634,5232,5874,5738,6624,5108,-492,4466,6377,6055,4965,5244,6558,5660,4612,4540,5863,4985,-3195,5069,5938,4305,5227,5667,6267,5486,8069,6576,-6302,7424,8873,8824,8420,8809,13187,10678,11649,10752,11202,13893,15463,15457,16458,20505,18765,16728,16740,17556,16425,18299,20081,22291,21870,21939,22036,
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,7,7,7,7,7,7,7,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,75.169,79.953,87.6,112.9,123.8,138.443,144,175.2,178.8,210.06,209,236,243,265,239,289,256,362,316,373,396,368,499,575,562,559,614,740,1035,1050,656,1126,1330,1350,1676,1976,1910,2195,2184,2430,2385,2409,2206,2624,2451,65,1283,2283,2738,1525,2041,1865,2142,1483,2614,1549,1315,2690,2528,3463,2563,3700,3141,3653,2977,2828,3478,2626,4926,3035,4289,4707,4388,4297,4373,4174,2977,3045,3574,6662,4006,4518,5410,6634,5232,5874,5738,6624,5108,-492,4466,6377,6055,4965,5244,6558,5660,4612,4540,5863,4985,-3195,5069,5938,4305,5227,5667,6267,5486,8069,6576,-6302,7424,8873,8824,8420,8809,13187,10678,11649,10752,11202,13893,15463,15457,16458,20505,18765,16728,16740,17556,16425,18299,20081,22291,21870,21939,22036,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,75.169,79.953,87.6,112.9,123.8,138.443,144,175.2,178.8,210.06,209,236,243,265,239,289,256,362,316,373,396,368,499,575,562,559,614,740,1035,1050,656,1126,1330,1350,1676,1976,1910,2195,2184,2430,2385,2409,2206,2624,2451,65,1283,2283,2738,1525,2041,1865,2142,1483,2614,1549,1315,2690,2528,3463,2563,3700,3141,3653,2977,2828,3478,2626,4926,3035,4289,4707,4388,4297,4373,4174,2977,3045,3574,6662,4006,4518,5410,6634,5232,5874,5738,6624,5108,-492,4466,6377,6055,4965,5244,6558,5660,4612,4540,5863,4985,-3195,5069,5938,4305,5227,5667,6267,5486,8069,6576,-6302,7424,8873,8824,8420,8809,13187,10678,11649,10752,11202,13893,15463,15457,16458,20505,18765,16728,16740,17556,16425,18299,20081,22291,21870,21939,22036,
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98.62,749,28,,15,,-37.05,-5.2,813.8,268.45,-33.8,-17.55,-81.25,-10.4,-22.1,-76.7,-582.55,-13,-1.95,-204.75,-22.1,6734.45,9.75,-27.95,439.4,-20.15,4.55,-45.5,-58.5,192,857.65,291.77,-27.48,7172.85,0,0,0,895,-263.25,-453.7,-513.5,-922.45,-372.45,13632.3,-403.69,-1596.31,-191.97,82.74,-34.76,-2777.93,45.03,-127.98,79.79,464.52,-94.01,-283.61,-898.87,-312.05,-3584.09,-237,52.14,197.5,-10.27,961.8,-82.95,-124.03,-109.81,284.4,-11.85,43.45,
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,8729.2798,6114.3119,8877.6002,8906.3998,9093.6002,6963.216,9230.4001,9388.8003,9508.8003,7227.8398,9568,9696,9728,9760,9696,9728,9728,9872,9952,10000,10016,10160,10240,10208,10224,10320,9631.376,9568,9556,9609.0879,9640,9684,9732,9848,9916,9996,10110,10200,10218,10326,10418,10400,10598,10660,10672,10762,10796,10790,10830,10830,21478,21406,10715,10593,10811,10810,10785,10346,10873,10877,10856,10750,10696,10560,10303,10193,9929,9806,9725,9507,9380,9361,9307,9264,9084,8903,8891,8901,8914,8856,8767,8712,8614,8497,8420,8429,8392,8402,8401,8388,8396,8393,8364,8345,8339,8326,8284,8246,8249,8228,8167,8061,7996,7964,7895,7842,7789,7755,7725,7715,7708,7710,7698,7683,7673,7692,7672,7655,7634,7621,7602,7580,7566,7555,7539,7527,7513,7505,7493,7474,7457,7451,7441,7434,7429,7432,7431,7433,
"Basic EPS, GAAP",IS_EPS,0.0086,0.009,0.0099,0.0126,0.0136,0.0152,0.0156,0.0187,0.0187,0.0219,0.0219,0.0244,0.025,0.0269,0.0244,0.0297,0.0262,0.0369,0.0319,0.0375,0.0394,0.0362,0.0487,0.0562,0.055,0.0544,0.0637,0.0775,0.1075,0.11,0.0675,0.1163,0.135,0.0675,0.17,0.1975,0.19,0.215,0.215,0.235,0.23,0.23,0.2082,0.245,0.23,0.005,0.12,0.21,0.255,0.14,0.095,0.085,0.2,0.14,0.24,0.14,0.12,0.26,0.23,0.32,0.24,0.3442,0.29,0.35,0.29,0.2774,0.35,0.27,0.51,0.32,0.46,0.5,0.47,0.46,0.48,0.47,0.33,0.34,0.4,0.75,0.46,0.52,0.63,0.78,0.62,0.7,0.68,0.79,0.61,-0.06,0.53,0.76,0.72,0.59,0.63,0.79,0.68,0.56,0.55,0.71,0.61,-0.4,0.63,0.75,0.55,0.67,0.73,0.81,0.71,1.05,0.85,-0.82,0.96,1.15,1.15,1.09,1.15,1.72,1.4,1.53,1.41,1.48,1.84,2.05,2.05,2.19,2.73,2.5,2.23,2.24,2.35,2.2,2.46,2.7,3,2.94,2.95,2.96,
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,0.0086,0.009,0.0099,0.0126,0.0136,0.0152,0.0156,0.0187,0.0187,0.0219,0.0219,0.0244,0.025,0.0269,0.0244,0.0297,0.0262,0.0369,0.0319,0.0375,0.0394,0.0362,0.0487,0.0562,0.055,0.0544,0.0637,0.0775,0.1075,0.11,0.0675,0.1163,0.135,0.0675,0.17,0.1975,0.19,0.215,0.215,0.235,0.23,0.23,0.2435,0.245,0.23,0.005,0.12,0.21,0.255,0.14,0.095,0.085,0.2,0.14,0.24,0.14,0.12,0.26,0.23,0.32,0.24,0.3442,0.29,0.35,0.29,0.2774,0.35,0.27,0.51,0.32,0.46,0.5,0.47,0.46,0.48,0.47,0.33,0.34,0.4,0.75,0.46,0.52,0.63,0.78,0.62,0.7,0.68,0.79,0.61,-0.06,0.53,0.76,0.72,0.59,0.63,0.79,0.68,0.56,0.55,0.71,0.61,-0.4,0.63,0.75,0.55,0.67,0.73,0.81,0.71,1.05,0.85,-0.82,0.96,1.15,1.15,1.09,1.15,1.72,1.4,1.53,1.41,1.48,1.84,2.05,2.05,2.19,2.73,2.5,2.23,2.24,2.35,2.2,2.46,2.7,3,2.94,2.95,2.96,
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,0.0086,0.009,0.0099,0.0126,0.0136,0.0152,0.0156,0.0187,0.0187,0.0219,0.0219,0.0244,0.025,0.0269,0.0244,0.0297,0.0262,0.0369,0.0319,0.0375,0.0394,0.0362,0.0487,0.0562,0.055,0.0544,0.0637,0.0775,0.1075,0.11,0.0975,0.1163,0.135,0.0675,0.16,0.1975,0.19,0.215,0.2051,0.25,0.23,0.23,0.4153,0.245,0.23,0.22,0.12,0.25,0.3627,0.215,0.095,0.085,0.26,0.41,0.3,0.34,0.34,0.28,0.31,0.35,0.33,0.3442,0.31,0.34,0.32,0.2774,0.35,0.27,0.5,0.4,0.46,0.52,0.47,0.47,0.4773,0.4682,0.4264,0.3723,0.3972,0.7503,0.4477,0.5174,0.6255,0.7717,0.5522,0.6953,0.6835,0.764,0.6054,0.7442,0.5331,0.7565,0.7765,0.5926,0.6294,0.7822,0.6762,0.5826,0.6543,0.748,0.607,0.4935,0.63,0.75,0.55,0.7807,0.6938,0.7496,0.6437,0.9263,0.8048,0.9508,0.912,0.9471,1.125,1.1054,1.1437,1.3598,1.4046,1.5117,1.4249,1.5391,1.8238,2.0092,1.931,2.1451,2.2522,2.4688,2.2394,2.2662,2.3529,2.3335,2.4481,2.6846,2.9858,2.9809,2.9508,2.9705,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,8729.2798,6114.3119,8877.6002,8906.3998,9093.6002,6963.216,9230.4001,9388.8003,9508.8003,7227.8398,9568,9696,9728,9760,9696,9728,9728,9872,9952,10000,10016,10160,10240,10208,10224,10320,10352,10432,10548,10616,10660,10668,10740,10824,10868,10920,11024,11042,10920,11076,11086,11000,11114,11140,11126,11184,11134,11112,11128,11060,21866,21692,10837,11407,10885,10899,10856,10760,10920,10956,10931,10817,10772,10638,10415,10299,10010,9942,9862,9657,9513,9503,9428,9380,9183,8914,8904,8928,8983,8951,8876,8821,8695,8570,8510,8521,8490,8465,8498,8388,8494,8444,8429,8442,8434,8395,8367,8345,8351,8297,8237,8061,8084,8051,7985,7929,7876,7830,7813,7806,7799,7710,7794,7775,7766,7768,7744,7730,7710,7691,7675,7650,7637,7616,7597,7581,7567,7555,7534,7506,7485,7473,7464,7467,7462,7468,7472,7472,
"Diluted EPS, GAAP",IS_DILUTED_EPS,0.0086,0.009,0.0099,0.0126,0.0136,0.0152,0.0156,0.0187,0.0187,0.0219,0.0219,0.0244,0.025,0.0269,0.0244,0.0297,0.0262,0.0369,0.0319,0.0375,0.0394,0.0362,0.0487,0.0562,0.055,0.0544,0.0594,0.0712,0.1,0.1,0.06,0.105,0.125,0.0625,0.155,0.18,0.175,0.2,0.2,0.22,0.215,0.22,0.1835,0.235,0.22,0.005,0.115,0.205,0.245,0.14,0.095,0.085,0.2,0.13,0.24,0.14,0.12,0.25,0.23,0.32,0.23,0.3421,0.29,0.34,0.29,0.2746,0.35,0.26,0.5,0.31,0.45,0.5,0.47,0.46,0.48,0.47,0.33,0.34,0.4,0.74,0.45,0.51,0.62,0.77,0.61,0.69,0.68,0.78,0.6,-0.06,0.53,0.76,0.72,0.59,0.62,0.78,0.68,0.55,0.54,0.71,0.61,-0.4,0.63,0.74,0.54,0.66,0.72,0.8,0.7,1.03,0.84,-0.82,0.95,1.14,1.14,1.08,1.14,1.71,1.38,1.51,1.4,1.46,1.82,2.03,2.03,2.17,2.73,2.48,2.22,2.23,2.35,2.2,2.45,2.69,2.99,2.93,2.94,2.95,
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,0.0086,0.009,0.0099,0.0126,0.0136,0.0152,0.0156,0.0187,0.0187,0.0219,0.0219,0.0244,0.025,0.0269,0.0244,0.0297,0.0262,0.0369,0.0319,0.0375,0.0394,0.0362,0.0487,0.0562,0.055,0.0544,0.0594,0.0712,0.1,0.1,0.06,0.105,0.125,0.0625,0.155,0.18,0.175,0.2,0.2,0.22,0.215,0.22,0.2322,0.235,0.22,0.005,0.115,0.205,0.245,0.14,0.095,0.085,0.2,0.13,0.24,0.14,0.12,0.25,0.23,0.32,0.23,0.3421,0.29,0.34,0.29,0.2746,0.35,0.26,0.5,0.31,0.45,0.5,0.47,0.46,0.48,0.47,0.33,0.34,0.4,0.74,0.45,0.51,0.62,0.77,0.61,0.69,0.68,0.78,0.6,-0.06,0.53,0.76,0.72,0.59,0.62,0.78,0.68,0.55,0.54,0.71,0.61,-0.4,0.63,0.74,0.54,0.66,0.72,0.8,0.7,1.03,0.84,-0.82,0.95,1.14,1.14,1.08,1.14,1.71,1.38,1.51,1.4,1.46,1.82,2.03,2.03,2.17,2.73,2.48,2.22,2.23,2.35,2.2,2.45,2.69,2.99,2.93,2.94,2.95,
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,0.0086,0.009,0.0099,0.0126,0.0136,0.0152,0.0156,0.0187,0.0187,0.0219,0.0219,0.0244,0.025,0.0269,0.0244,0.0297,0.0262,0.0369,0.0319,0.0375,0.0394,0.0362,0.0487,0.0562,0.055,0.0544,0.0594,0.0712,0.1,0.1,0.0875,0.105,0.125,0.0625,0.145,0.18,0.175,0.2,0.1907,0.235,0.215,0.22,0.396,0.235,0.22,0.215,0.115,0.245,0.3519,0.215,0.095,0.085,0.26,0.38,0.3,0.34,0.34,0.27,0.31,0.35,0.32,0.3421,0.31,0.33,0.32,0.2746,0.35,0.26,0.49,0.39,0.45,0.51,0.47,0.47,0.476,0.4682,0.4214,0.3701,0.3962,0.738,0.4408,0.5088,0.6175,0.7611,0.5415,0.6885,0.6798,0.7558,0.5974,0.7429,0.5311,0.7565,0.7721,0.5876,0.6205,0.7746,0.673,0.573,0.6427,0.7452,0.6067,0.4898,0.63,0.74,0.54,0.7729,0.6866,0.7421,0.6343,0.9118,0.7922,0.9481,0.8982,0.9347,1.1153,1.0907,1.1355,1.3506,1.3858,1.4934,1.4104,1.5207,1.8077,1.9928,1.9117,2.1288,2.2522,2.4486,2.2269,2.2563,2.3486,2.3287,2.4389,2.6734,2.9753,2.9681,2.9384,2.9558,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,
EBITDA,EBITDA,118.388,124.326,136,174.8,192.6,222.204,223.6,270.9,278.5,335.3,327,362,376,412,384,462,553,564,504,586,619,598,777,864,963,954,1064,1225,1676,1463,1584,1882,2146,2122,2261,2891,2387,3315,3112,3237,2971,2842,3027,3433,3481,3315,3179,3581,3446,1589,3301,2508,3127,2002,3476,1775,1527,3442,3677,4857,3611,3271,4280,4888,4065,4142,4723,3837,7034,4370,6353,6962,4941,6287,6584,6571,5102,4668,5128,9128,5867,6648,7810,8828,6429,6860,7929,8672,7140,989,6018,8780,8665,7056,7288,9230,8229,8224,7272,9297,8109,-560,7777,9033,7984,7906,8531,10071,9176,10025,10595,11614,11397,13298,13202,13666,13698,15782,16122,17572,16615,17489,19019,21161,20537,23012,24038,26212,24881,25173,24970,24731,26667,28891,31591,33808,34490,35387,
