AAPL US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,131.815,119.764,98.476,150.509,131.149,-53.055,81.238,166.018,135.078,131.665,97.612,161.341,110.9,-188.316,2.664,40.018,17.404,138.101,114.655,188,73,103,60,-69,-740,-32,25,-120,-708,-56,-161,47,55,101,106,152,135,203,111,183,233,200,170,-207,43,61,66,38,40,32,-45,-6,14,19,41,63,46,61,106,295,290,319,428,565,410,472,542,1011,774,840,870,1581,1101,1131,2247,2255,1620,1828,2532,3378,3074,3253,4308,6004,5987,7308,6623,13064,11622,8824,8223,13078,9547,6900,7512,13072,10223,7748,8467,18024,13569,10677,11124,18361,10516,7796,9014,17891,11029,8717,10714,20065,13822,11519,14125,19965,11561,10044,13686,22236,11249,11253,12673,28755,23630,21744,20551,34630,25010,19442,20721,29998,24160,19881,22956,33916,23636,21448,
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-12,0,0,0,0,0,0,0,2,0,,-3,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,131.815,119.764,98.476,150.509,131.149,-53.055,81.238,166.018,135.078,131.665,97.612,161.341,110.9,-188.316,2.664,40.018,17.404,138.101,114.655,188,73,103,60,-69,-740,-32,25,-120,-708,-56,-161,47,55,101,106,152,135,203,111,183,233,195,170,-195,43,61,66,38,40,32,-45,-8,14,19,44,62,46,61,106,295,290,319,428,565,410,472,542,1011,774,840,870,1581,1101,1131,2247,2255,1620,1828,2532,3378,3074,3253,4308,6004,5987,7308,6623,13064,11622,8824,8223,13078,9547,6900,7512,13072,10223,7748,8467,18024,13569,10677,11124,18361,10516,7796,9014,17891,11029,8717,10714,20065,13822,11519,14125,19965,11561,10044,13686,22236,11249,11253,12673,28755,23630,21744,20551,34630,25010,19442,20721,29998,24160,19881,22956,33916,23636,21448,
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income, GAAP",NET_INCOME,131.815,119.764,98.476,150.509,131.149,-53.055,81.238,166.018,135.078,131.665,97.612,161.341,110.9,-188.316,2.664,40.018,17.404,138.101,114.655,188,73,103,60,-69,-740,-32,25,-120,-708,-56,-161,47,55,101,106,152,135,203,111,183,233,200,170,-195,43,61,66,38,40,32,-45,-8,14,19,44,63,46,61,106,295,290,319,428,565,410,472,542,1011,774,840,870,1581,1101,1131,2247,2255,1620,1828,2532,3378,3074,3253,4308,6004,5987,7308,6623,13064,11622,8824,8223,13078,9547,6900,7512,13072,10223,7748,8467,18024,13569,10677,11124,18361,10516,7796,9014,17891,11029,8717,10714,20065,13822,11519,14125,19965,11561,10044,13686,22236,11249,11253,12673,28755,23630,21744,20551,34630,25010,19442,20721,29998,24160,19881,22956,33916,23636,21448,
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,131.815,119.764,98.476,150.509,131.149,-53.055,81.238,166.018,135.078,131.665,97.612,161.341,110.9,-188.316,2.664,40.018,17.404,138.101,114.655,188,73,103,60,-69,-740,-32,25,-120,-708,-56,-161,47,55,101,106,152,135,203,111,183,233,200,170,-195,43,61,66,38,40,32,-45,-8,14,19,44,63,46,61,106,295,290,319,428,565,410,472,542,1011,774,840,870,1581,1101,1131,2247,2255,1620,1828,2532,3378,3074,3253,4308,6004,5987,7308,6623,13064,11622,8824,8223,13078,9547,6900,7512,13072,10223,7748,8467,18024,13569,10677,11124,18361,10516,7796,9014,17891,11029,8717,10714,20065,13822,11519,14125,19965,11561,10044,13686,22236,11249,11253,12673,28755,23630,21744,20551,34630,25010,19442,20721,29998,24160,19881,22956,33916,23636,21448,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,131.815,119.764,98.476,150.509,131.149,-53.055,81.238,166.018,135.078,131.665,97.612,161.341,110.9,-188.316,2.664,40.018,17.404,138.101,114.655,188,73,103,60,-69,-740,-32,25,-120,-708,-56,-161,47,55,101,106,152,135,203,111,183,233,200,170,-195,43,61,66,38,40,32,-45,-8,14,19,44,63,46,61,106,295,290,319,428,565,410,472,542,1011,774,840,870,1581,1101,1131,2247,2255,1620,1828,2532,3378,3074,3253,4308,6004,5987,7308,6623,13064,11622,8824,8223,13078,9547,6900,7512,13072,10223,7748,8467,18024,13569,10677,11124,18361,10516,7796,9014,17891,11029,8717,10714,20065,13822,11519,14125,19965,11561,10044,13686,22236,11249,11253,12673,28755,23630,21744,20551,34630,25010,19442,20721,29998,24160,19881,22956,33916,23636,21448,
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.05,-39,-32.5,-50.7,-14.3,36.4,1.95,35.1,-308.75,49.4,-13,-27.3,20.15,-13,-31.2,-456.3,-75.4,28.44,-161.95,22.91,37.13,29.23,-22.12,-18.96,-10.27,29.23,-11.06,-72.68,-93.22,-75.84,-55.3,0,0,0,0,0,0,0,0,0,0,0,0,
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-12,0,0,0,0,0,0,0,2,0,,-3,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,14219.408,13941.6476,13161.456,13207.6003,13679.1202,13419.84,13209.0564,13678.7844,13892.704,13768.9436,13275.5838,13569.4718,13541.2479,12954.9279,13058.3043,13099.0721,13321.728,13312.3201,13459.9361,13619.1998,13736.1277,13798.7363,13970.9917,13775.3283,13849.8077,13858.3201,13979.728,13947.5837,14068.2081,14168,14291.9842,14334.7678,14780.5273,14903.6152,15107.9038,15150.24,15273.5522,16134.0481,17983.728,18036.368,18163.2637,18202.24,18310.712,18881.52,19380.4792,19530.8408,19645.864,19674.4792,19794.8806,19956.7197,20098.9602,20107.1924,20187.4395,20204.408,20282.6965,20297.2007,20459.4312,21001.2886,21473.928,22092.896,22628.816,22822.576,22999.76,23261.868,23545.48,23838.5,23917.236,24015.348,24164.084,24270.568,24384.668,24524.08,24627.288,24744.664,24839.08,24895.976,24953.04,25023.936,25144.896,25299.176,25411.344,25541.516,25607.54,25740.232,25849.488,25931.024,25991.84,26069.148,26140.296,26224.688,26273.604,26289.648,26309.612,25721.304,25316.564,25090.016,24493.196,24050.54,23735.38,23372.328,23175.196,22919.544,22587.664,22235.72,22057.524,21772.232,21467.648,21194.644,20903.164,20780.352,20597.712,20451.508,20099.508,19528.668,19206.356,18943.28,18696.284,18282.532,17963.249,17660.16,17440.402,17250.292,17057.622,16935.119,16753.476,16629.371,16487.121,16391.724,16278.802,16162.945,16030.382,15892.723,15787.154,15697.614,15599.434,15509.763,15405.856,15287.521,
"Basic EPS, GAAP",IS_EPS,0.0093,0.0086,0.0072,0.0114,0.0096,-0.0039,0.006,0.0121,0.0097,0.0096,0.0072,0.0119,0.0082,-0.0146,0.0002,0.003,0.0013,0.0104,0.0085,0.0138,0.0053,0.0075,0.0043,-0.005,-0.0535,-0.0023,0.0018,-0.0086,-0.0504,-0.0039,-0.0113,0.0033,0.0037,0.0068,0.0071,0.01,0.0088,0.0126,0.0062,0.0101,0.0129,0.0111,0.0093,-0.0104,0.0021,0.003,0.0034,0.002,0.002,0.0016,-0.0023,-0.0004,0.0007,0.0009,0.0021,0.003,0.0023,0.0029,0.005,0.0134,0.0129,0.0139,0.0186,0.0243,0.0175,0.0196,0.0225,0.0421,0.0321,0.0346,0.0357,0.0646,0.0446,0.0457,0.0904,0.0907,0.065,0.0732,0.1007,0.1336,0.1211,0.1275,0.1682,0.2332,0.2318,0.2818,0.2546,0.5011,0.4446,0.3364,0.3129,0.4975,0.3629,0.2682,0.2968,0.5211,0.4175,0.3225,0.3575,0.77,0.585,0.465,0.4925,0.825,0.4775,0.3575,0.42,0.845,0.5275,0.42,0.52,0.98,0.6875,0.59,0.735,1.055,0.6175,0.55,0.76,1.2591,0.64,0.6525,0.74,1.7,1.41,1.31,1.25,2.11,1.54,1.2,1.29,1.89,1.53,1.27,1.47,2.19,1.53,1.4,
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,0.0093,0.0086,0.0072,0.0114,0.0096,-0.0039,0.006,0.0121,0.0097,0.0096,0.0072,0.0119,0.0082,-0.0146,0.0002,0.003,0.0013,0.0104,0.0085,0.0138,0.0053,0.0075,0.0043,-0.005,-0.0535,-0.0023,0.0018,-0.0086,-0.0504,-0.0039,-0.0113,0.0033,0.0037,0.0068,0.0071,0.01,0.0088,0.0126,0.0062,0.0101,0.0129,0.0111,0.0093,-0.0109,0.0021,0.003,0.0034,0.002,0.002,0.0016,-0.0023,-0.0004,0.0007,0.0009,0.002,0.003,0.0023,0.0029,0.005,0.0134,0.0129,0.0139,0.0186,0.0243,0.0175,0.0196,0.0225,0.0421,0.0321,0.0346,0.0357,0.0646,0.0446,0.0457,0.0904,0.0907,0.065,0.0732,0.1007,0.1336,0.1211,0.1275,0.1682,0.2332,0.2318,0.2818,0.2546,0.5011,0.4446,0.3364,0.3129,0.4975,0.3629,0.2682,0.2968,0.5211,0.4175,0.3225,0.3575,0.77,0.585,0.465,0.4925,0.825,0.4775,0.3575,0.42,0.845,0.5275,0.42,0.52,0.98,0.6875,0.59,0.735,1.055,0.6175,0.55,0.76,1.2591,0.64,0.6525,0.74,1.7,1.41,1.31,1.25,2.11,1.54,1.2,1.29,1.89,1.53,1.27,1.47,2.19,1.53,1.4,
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,0.0093,0.0086,0.0072,0.0114,0.0096,-0.0039,0.006,0.0121,0.0097,0.0096,0.0072,0.0119,0.0082,-0.0146,0.0002,0.003,0.0013,0.0104,0.0085,0.0138,0.0053,0.0075,0.0043,-0.005,-0.0386,-0.0023,0.0018,-0.0086,-0.0132,-0.0039,-0.0017,0.0033,0.0037,0.005,0.0071,0.01,0.0061,0.0071,0.005,0.0101,0.0093,0.0111,0.0093,-0.0104,0.002,0.003,0.0032,0.002,0.002,0.0016,0.0004,0.0005,0.0007,0.0009,0.0014,0.0029,0.0027,0.0032,0.005,0.0134,0.0132,0.0139,0.0186,0.0243,0.0175,0.0196,0.0225,0.0421,0.0321,0.0346,0.0357,0.0646,0.0446,0.0457,0.0904,0.0907,0.065,0.0732,0.1007,0.1336,0.1211,0.1275,0.1682,0.2332,0.2318,0.2818,0.2546,0.5011,0.4446,0.3364,0.3129,0.4975,0.3629,0.2682,0.2968,0.5206,0.4158,0.3208,0.3546,0.7706,0.5871,0.4659,0.494,0.8119,0.479,0.3575,0.4186,0.8451,0.527,0.418,0.498,0.9774,0.6891,0.5816,0.7366,1.0559,0.6199,0.5482,0.7608,1.2585,0.6467,0.6517,0.7387,1.6924,1.4059,1.3042,1.25,2.11,1.54,1.2,1.29,1.89,1.53,1.27,1.47,2.19,1.53,1.4,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,14219.408,13941.6476,13161.456,13207.6003,13679.1202,13419.84,13209.0564,13678.7844,13892.704,13768.9436,13275.5838,13569.4718,13541.2479,12954.9279,13058.3043,13099.0721,13321.728,13312.3201,13459.9361,13619.1998,13736.1277,13798.7363,13970.9917,13775.3283,13849.8077,13858.3201,13979.728,13947.5837,14068.2081,14168,14291.9842,15661.9685,16342.4792,19240.0315,19270.1592,19270.944,19398.8474,19560.7993,19801.1526,19982.704,20383.2156,20261.752,20259.904,18881.52,19757.4727,20099.0713,19965.3997,20020.5042,20494.2637,20545.3914,20209,20213.2007,20285.6086,20371.512,20761.0481,20849.2488,21180.8806,21986.7761,22562.736,23468.872,23996.308,24102.484,24261.524,24477.796,24599.036,24538.304,24605.196,24732.316,24826.284,24938.788,25078.648,25201.512,25181.212,25288.676,25334.008,25241.832,25283.804,25456.48,25602.472,25753.924,25840.584,25966.108,26007.1,26128.312,26206.432,26258.68,26306.476,26364.016,26457.004,26517.652,26549.208,26522.076,26488.98,25879.42,25455.668,25240.656,24626.784,24206.844,23888.328,23527.212,23339.432,23092.396,22730.076,22376.508,22163.544,21891.124,21573.332,21311.98,21046.752,20933.996,20734.34,20631.148,20273.972,19706.436,19390.188,19093.008,18802.584,18405.52,18081.493,17818.416,17618.765,17419.152,17256.521,17113.688,16929.157,16781.735,16635.097,16519.291,16403.316,16262.203,16118.465,15955.718,15847.05,15775.021,15672.4,15576.641,15464.709,15348.175,
"Diluted EPS, GAAP",IS_DILUTED_EPS,0.0093,0.0086,0.0072,0.0114,0.0096,-0.0039,0.006,0.0121,0.0097,0.0096,0.0072,0.0119,0.0082,-0.0146,0.0002,0.003,0.0013,0.0104,0.0085,0.0138,0.0053,0.0075,0.0043,-0.005,-0.0535,-0.0023,0.0018,-0.0086,-0.0504,-0.0039,-0.0113,0.0029,0.0034,0.0058,0.0061,0.0079,0.0075,0.0107,0.0056,0.0092,0.0114,0.0098,0.0084,-0.0104,0.0021,0.003,0.0034,0.002,0.002,0.0016,-0.0023,-0.0004,0.0007,0.0009,0.0021,0.003,0.0021,0.0029,0.0046,0.0125,0.0121,0.0132,0.0175,0.0232,0.0168,0.0193,0.0221,0.0407,0.0311,0.0336,0.0346,0.0629,0.0436,0.0446,0.0886,0.0893,0.0639,0.0718,0.0989,0.1311,0.1189,0.1254,0.1657,0.2296,0.2286,0.2782,0.2518,0.4954,0.4393,0.3329,0.3096,0.4932,0.3604,0.2668,0.295,0.5179,0.415,0.32,0.355,0.765,0.5825,0.4625,0.49,0.82,0.475,0.355,0.4175,0.84,0.525,0.4175,0.5175,0.9725,0.6825,0.585,0.7275,1.045,0.615,0.545,0.76,1.2479,0.64,0.645,0.73,1.68,1.4,1.3,1.24,2.1,1.52,1.2,1.29,1.88,1.52,1.26,1.46,2.18,1.53,1.4,
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,0.0093,0.0086,0.0072,0.0114,0.0096,-0.0039,0.006,0.0121,0.0097,0.0096,0.0072,0.0119,0.0082,-0.0146,0.0002,0.003,0.0013,0.0104,0.0085,0.0138,0.0053,0.0075,0.0043,-0.005,-0.0535,-0.0023,0.0018,-0.0086,-0.0504,-0.0039,-0.0113,0.0029,0.0034,0.0058,0.0061,0.0079,0.0075,0.0107,0.0056,0.0092,0.0114,0.0098,0.0084,-0.0109,0.0021,0.003,0.0034,0.002,0.002,0.0016,-0.0023,-0.0004,0.0007,0.0009,0.002,0.003,0.0021,0.0029,0.0046,0.0125,0.0121,0.0132,0.0175,0.0232,0.0168,0.0193,0.0221,0.0407,0.0311,0.0336,0.0346,0.0629,0.0436,0.0446,0.0886,0.0893,0.0639,0.0718,0.0989,0.1311,0.1189,0.1254,0.1657,0.2296,0.2286,0.2782,0.2518,0.4954,0.4393,0.3329,0.3096,0.4932,0.3604,0.2668,0.295,0.5179,0.415,0.32,0.355,0.765,0.5825,0.4625,0.49,0.82,0.475,0.355,0.4175,0.84,0.525,0.4175,0.5175,0.9725,0.6825,0.585,0.7275,1.045,0.615,0.545,0.76,1.2479,0.64,0.645,0.73,1.68,1.4,1.3,1.24,2.1,1.52,1.2,1.29,1.88,1.52,1.26,1.46,2.18,1.53,1.4,
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,0.0093,0.0086,0.0072,0.0114,0.0096,-0.0039,0.006,0.0121,0.0097,0.0096,0.0072,0.0119,0.0082,-0.0146,0.0002,0.003,0.0013,0.0104,0.0085,0.0138,0.0053,0.0075,0.0043,-0.005,-0.0386,-0.0023,0.0018,-0.0086,-0.0132,-0.0039,-0.0017,0.0029,0.0034,0.0045,0.0061,0.0079,0.0054,0.0062,0.0046,0.0092,0.0079,0.0098,0.0084,-0.0104,0.002,0.003,0.0032,0.002,0.002,0.0016,0.0004,0.0005,0.0007,0.0009,0.0014,0.0029,0.0025,0.003,0.0048,0.0125,0.0125,0.0132,0.0175,0.0232,0.0168,0.0193,0.0221,0.0407,0.0311,0.0336,0.0346,0.0629,0.0436,0.0446,0.0886,0.0893,0.0639,0.0718,0.0989,0.1311,0.1189,0.1254,0.1657,0.2296,0.2286,0.2782,0.2518,0.4954,0.4393,0.3329,0.3096,0.4932,0.3604,0.2668,0.295,0.5174,0.4134,0.3187,0.3529,0.7644,0.5841,0.4626,0.4915,0.8062,0.4772,0.3544,0.4162,0.8409,0.5244,0.416,0.4955,0.9688,0.6839,0.5768,0.7287,1.0469,0.6166,0.5438,0.759,1.2473,0.6417,0.6444,0.7258,1.6746,1.3955,1.2967,1.24,2.1,1.52,1.2,1.29,1.88,1.52,1.26,1.46,2.18,1.53,1.4,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,
EBITDA,EBITDA,243.463,232.099,201.299,275.523,232.443,188.636,179.223,312.415,260.673,258.188,191.714,280.186,211.908,55.583,49.63,107.313,72.789,274.099,109.176,305,195,193,95,-77,-929,-94,52,-99,-156,-38,8,68,79,100,132,150,112,123,86,120,191,193,102,-396,14,68,83,48,57,41,18,17,29,40,51,107,98,121,173,444,443,472,463,802,579,623,674,1399,1057,1160,1118,2232,1568,1655,3292,3269,2504,2814,3887,4934,4195,4507,5776,8183,8308,9860,9253,18061,16124,12408,11925,18798,14250,10895,11813,19607,15480,12228,13134,26821,20757,17167,17742,27125,16464,12631,14309,26346,16429,13122,15604,29019,18633,15277,18872,26741,16455,14477,18804,28754,15639,16224,17877,36200,30300,26958,26775,44185,32716,25881,27759,38932,31216,26050,29622,43221,30736,28202,
