GOOG US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.254,63.973,79.063,51.983,204.1,369.193,342.814,381.182,372.208,592.291,721.077,733.361,1030.716,1002.162,925.12,1069.989,1206.449,1307.086,1247.391,1289.938,382.442,1422.828,1484.545,1638.975,1974.1,1955,1840,2167,2543,1798,2505,2729,2705,2890,2785,2176,2886,3346,3228,2970,3376,3452,3351,2739,4675,3515,3409,3979,4923,4207,4877,5061,5333,5426,3524,6732,-3020,9401,3195,9192,8948,6657,9947,7068,10671,6836,6959,11247,15227,17930,18525,18936,20642,16436,16002,13910,13624,15051,18368,19689,20687,23662,23619,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.254,63.973,79.063,51.983,204.1,369.193,342.814,381.182,372.208,592.291,721.077,733.361,1030.716,1002.162,925.12,1069.989,1206.449,1307.086,1247.391,1289.938,382.442,1422.828,1484.545,1638.975,1974.1,1955,1840,2167,2543,1798,2505,2729,2705,2890,2785,2176,2886,3346,3228,2970,3376,3452,3351,2739,4675,3515,3409,3979,4923,4207,4877,5061,5333,5426,3524,6732,-3020,9401,3195,9192,8948,6657,9947,7068,10671,6836,6959,11247,15227,17930,18525,18936,20642,16436,16002,13910,13624,15051,18368,19689,20687,23662,23619,
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.2712,-11.9483,-12.5749,-8.0854,-16.25,-27.95,-40.3,-35.75,307.45,-48.75,-70.85,43.55,-78,-68.9,149.5,66.3,16.25,7.8,16.9,13,-189.15,-52.65,370.2,-8.45,10.4,41.6,-0.65,196.3,182,9.1,-58.5,46.15,44.2,2746.4,49.4,9922.1,-2333.87,4214.6733,247.5367,-978.02,952.04,-1847.02,1000.14,-684.14,570.38,-1353.27,-1464.66,-2537.48,-3231.89,-1937.08,-1464.66,-1816.21,1021.47,664.39,1124.17,1185.79,-119.29,481.9,795.53,816.07,-906.13,707.84,
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-18,21,182,-454,193,506,198,68,185,-967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,
EBITDA,EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.425,178.998,201.97,253.438,355.259,498.963,542.627,605.136,754.365,853.857,941.593,1076.641,1249.844,1426.201,1327.97,1567.217,1730.67,1882.759,1969.572,2033.811,2245.714,2286.813,2250.851,2452.341,2846.489,2819,2707,2889,3363,2697,3336,3550,4010,3900,3907,3568,4347,4647,4495,4735,5465,5201,5337,5271,5666,5624,6059,5956,6784,6713,7458,7363,8326,8071,5757,9543,9690,9619,5159,10980,10801,9619,12442,12574,13197,11608,10313,15273,19994,19984,22306,25235,26249,24756,24072,22281,23399,21701,25835,31843,29357,29985,30927,
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4854,31.0315,34.5174,36.8499,38.126,39.1149,38.622,38.4408,38.9167,38.8681,39.0697,37.8275,37.209,36.4714,35.9273,36.4597,36.4069,37.3097,38.5917,39.5848,40.7261,41.591,41.6136,41.2946,40.8694,40.1692,37.4538,36.862,36.2014,35.8607,37.0131,35.9412,33.2003,31.3343,31.3809,31.7157,33.6044,34.8385,34.3105,34.0884,33.4471,32.5374,32.2794,32.4949,32.475,32.5688,32.7127,32.9142,33.1061,33.0778,32.9425,29.7326,30.3042,29.8236,29.517,27.4508,27.2958,26.7207,25.7436,29.5632,29.3026,29.552,29.8907,28.7249,29.3476,31.3313,33.335,35.2108,36.5867,36.3977,36.4534,36.0654,34.5103,33.4144,32.1325,32.1955,34.59,35.3735,36.7819,37.1971,
EBIT,EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.418,155.323,170.958,212.112,302.799,442.77,475.698,529.171,659.64,742.699,815.372,931.331,1060.594,1221.209,1104.615,1317.842,1440.734,1546.235,1577.965,1647.565,1860.204,1883.591,1873.894,2073.718,2480.983,2488,2365,2547,2982,2296,2881,3058,3507,3389,3237,2740,3394,3748,3465,3761,4429,4115,4258,3724,4399,4447,4825,4708,5380,5342,5968,5767,6639,6568,4132,7782,7664,7633,3045,8625,8221,6608,9180,9177,9266,7977,6383,11213,15651,16437,19361,21031,21885,20094,19453,17135,18160,17415,21838,21343,23697,25472,27425,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0191,51.5981,53.3888,55.0683,56.0079,56.6095,56.8727,58.5781,59.5103,59.8839,59.7298,61.0091,59.9704,59.868,59.704,60.7081,59.4789,59.3035,59.9871,60.779,61.585,61.8532,61.8322,62.5518,63.9127,63.8081,63.827,64.9739,65.0948,65.7609,64.8571,65.2469,65.0227,64.4058,60.3879,55.239,56.911,60.3428,60.3647,60.6733,60.1897,61.3424,61.6797,59.4807,61.7688,63.1707,62.8646,62.3186,61.611,62.2451,62.186,61.2534,59.0968,60.4242,60.1192,59.8589,55.8612,56.7617,57.4884,57.6734,54.3793,55.9371,55.5875,56.6212,54.3787,53.8813,51.555,54.2655,54.1636,56.4251,57.6164,57.5832,56.2058,56.4791,56.7999,54.9036,53.5267,56.1351,57.2195,56.6727,56.4651,58.142,58.0999,
Operating Margin,OPER_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8727,23.8363,24.4152,26.3203,29.3552,35.2379,34.359,33.5246,34.3725,32.9538,33.1993,34.6262,33.0867,33.3302,28.5284,31.1447,29.8494,29.8153,29.4001,29.732,32.63,34.1912,33.9295,34.8826,37.1748,36.7232,34.6774,34.9575,35.3318,26.7755,31.9189,31.4609,33.1349,31.8365,27.4159,20.5953,23.5384,28.9399,26.4363,27.3448,28.1976,26.6861,26.6876,22.5383,24.2998,25.7678,27.2184,25.2102,25.2239,26.3711,27.7581,25.6871,25.4719,26.5374,15.8862,28.021,23.7107,24.5072,9.3242,25.5631,20.9314,18.1843,23.5723,22.6598,20.1107,19.3809,16.6671,24.2848,27.5071,29.7158,31.288,32.2968,29.0541,29.5452,27.9156,24.8003,23.8797,24.9545,29.2719,27.8291,27.4557,31.6269,32.3629,
Profit Margin,PROF_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3212,9.8175,11.2913,6.4504,19.7867,29.3823,24.7609,24.149,19.395,26.2802,29.3599,27.2658,32.1546,27.3518,23.8927,25.2872,24.9954,25.2039,23.2409,23.2782,6.7084,25.8274,26.8798,27.5697,29.5797,28.8561,26.9795,29.742,30.1303,20.9679,27.7532,28.0761,25.5574,27.1489,23.5877,16.356,20.0153,25.8358,24.6281,21.5937,21.4936,22.3865,21.0028,16.5769,25.8244,20.3674,22.1752,21.3066,23.0813,20.7681,22.6837,22.5424,20.4612,21.9232,13.5486,24.2402,-9.3432,30.1837,9.7835,27.2436,22.7824,18.3192,25.5418,17.4523,23.1601,16.6088,18.1711,24.3584,26.7619,32.4149,29.937,29.0795,27.4039,24.1667,22.9633,20.1326,17.915,21.5671,24.6207,25.6725,23.9683,29.3796,27.8717,
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341443.5541,360860.425,330981.3531,316387.252,337868.4859,,,,300308.9751,299392.9564,280863.5572,265855.1772,287216.8402,270726.8219,273781.4732,275375.9877,281915.9331,273209.1847,279131.5577,302459.9847,336467.1036,328548.567,312772.2999,334143.5451,345901.6393,325847.3932,313751.3904,310018.1801,325992.5463,321824.833,216229.5803,248459.2687,267707.6178,240318.4205,292717.2432,296288.3178,328901.0805,309458.3475,306420.3269,300254.4067,337742.5373,311409.4444,310194.5825,311374.5498,345051.2829,315947.9061,322944.0481,320944.0624,361733.7238,334495.6211,344020.3158,355590.8375,403482.7113,366208.1129,366693.6154,357521.2987,397647.0826,351240.5881,361778.4219,354955.4761,387513.7722,334495.4814,300373.3392,349475.1024,420529.0427,395114.1112,429555.173,434038.9794,481309.9042,414939.0504,400456.2851,369913.1059,399760.2952,365930.649,410367.5508,420509.8119,472926.3241,445225.1306,471884.71,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6016,34.2719,39.5866,22.7953,23.7349,24.7034,23.8782,20.8618,23.2622,24.3694,22.3606,22.7352,21.1617,21.1105,21.201,20.8233,16.5992,16.0286,15.9274,16.108,20.2993,20.7031,20.5188,20.6101,20.6821,19.1613,19.4657,19.5169,18.6558,19.5888,19.0366,17.1841,16.5363,16.3181,16.2092,16.4617,16.2491,15.5828,15.0618,14.2109,14.8738,14.2687,13.8176,14.4874,14.1183,14.2386,15.0095,15.2334,15.0196,15.4157,14.009,14.4332,8.6863,10.8819,10.5116,11.481,18.6205,16.2604,19.6187,17.8833,18.1196,17.8348,15.7862,17.5111,18.9954,23.6875,28.2899,30.8721,32.0693,30.8002,29.2164,26.8932,23.6213,22.7567,23.3286,25.3335,27.3556,29.7635,30.8709,
Return on Assets,RETURN_ON_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0747,28.4889,33.2349,21.0266,21.5735,22.2756,21.8777,19.2405,21.4119,22.2758,20.6107,20.6384,19.1911,18.9358,19.0931,18.6559,14.8042,14.2105,14.2364,14.3886,18.0461,18.4662,17.8071,17.4334,17.2958,16.2363,15.9655,15.6416,14.9312,15.7968,14.7225,13.2932,12.9072,12.8777,12.4294,12.7619,12.6222,12.2185,11.8039,11.1917,11.8422,11.4274,11.4126,11.9232,11.8186,12.0362,12.273,12.5353,12.3686,12.8352,11.6211,12.0263,6.942,8.7634,8.3581,9.1312,14.2929,12.3781,14.8253,13.4631,13.5022,13.3096,11.7754,12.7028,13.5239,17.1068,20.5021,21.8413,22.3994,21.7889,20.8569,18.9865,16.5547,16.1266,16.5133,17.6781,19.2261,21.2157,21.9743,
Return on Capital,RETURN_ON_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6529,,,,,,,,,,,,,,17.6045,15.961,15.4794,15.2441,15.1232,15.383,15.2975,14.6664,14.3092,13.5178,14.1801,13.5707,13.7055,14.3506,14.0078,14.1312,14.5181,14.7717,14.5821,14.9767,13.668,14.1091,8.491,10.6017,10.2894,11.2497,18.2404,15.4785,18.7135,17.0531,17.2559,16.5797,14.7017,15.9133,17.3007,21.5736,25.8236,27.6476,28.825,27.7381,26.3126,24.2415,21.2877,20.5719,21.0819,22.8862,24.7541,27.0684,28.1402,
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.809,37.6586,41.7457,,23.1787,23.3386,21.738,,20.5566,21.3624,19.9477,20.0351,18.9534,18.7962,19.3868,19.3791,17.886,17.3197,17.503,17.6677,20.371,20.2519,20.123,19.345,19.0883,17.4973,17.5276,17.0844,16.4309,17.2102,16.5935,15.2179,14.7352,14.6884,14.0056,14.5964,15.2878,14.3435,14.6568,13.7555,12.9156,12.3504,12.4379,12.9582,13.6778,14.057,14.3829,14.6254,14.1745,14.2591,12.9741,13.5086,8.1112,8.683,7.9833,8.3705,14.2517,12.4772,14.9154,14.3385,14.7485,14.8471,13.4239,13.6888,14.59,17.0724,21.0995,23.0945,24.4123,25.2601,25.0137,23.9141,22.1535,20.9413,21.5671,23.3463,24.8374,26.7977,28.1364,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0191,51.5981,53.3888,55.0683,56.0079,56.6095,56.8727,58.5781,59.5103,59.8839,59.7298,61.0091,59.9704,59.868,59.704,60.7081,59.4789,59.3035,59.9871,60.779,61.585,61.8532,61.8322,62.5518,63.9127,63.8081,63.827,64.9739,65.0948,65.7609,64.8571,65.2469,65.0227,64.4058,60.3879,55.239,56.911,60.3428,60.3647,60.6733,60.1897,61.3424,61.6797,59.4807,61.7688,63.1707,62.8646,62.3186,61.611,62.2451,62.186,61.2534,59.0968,60.4242,60.1192,59.8589,55.8612,56.7617,57.4884,57.6734,54.3793,55.9371,55.5875,56.6212,54.3787,53.8813,51.555,54.2655,54.1636,56.4251,57.6164,57.5832,56.2058,56.4791,56.7999,54.9036,53.5267,56.1351,57.2195,56.6727,56.4651,58.142,58.0999,
Operating Margin,OPER_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8727,23.8363,24.4152,26.3203,29.3552,35.2379,34.359,33.5246,34.3725,32.9538,33.1993,34.6262,33.0867,33.3302,28.5284,31.1447,29.8494,29.8153,29.4001,29.732,32.63,34.1912,33.9295,34.8826,37.1748,36.7232,34.6774,34.9575,35.3318,26.7755,31.9189,31.4609,33.1349,31.8365,27.4159,20.5953,23.5384,28.9399,26.4363,27.3448,28.1976,26.6861,26.6876,22.5383,24.2998,25.7678,27.2184,25.2102,25.2239,26.3711,27.7581,25.6871,25.4719,26.5374,15.8862,28.021,23.7107,24.5072,9.3242,25.5631,20.9314,18.1843,23.5723,22.6598,20.1107,19.3809,16.6671,24.2848,27.5071,29.7158,31.288,32.2968,29.0541,29.5452,27.9156,24.8003,23.8797,24.9545,29.2719,27.8291,27.4557,31.6269,32.3629,
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6657,47.5203,44.5342,41.0396,40.2033,30.0759,31.7009,36.191,31.1686,33.9317,20.4269,25.0708,23.4483,21.3542,31.6574,25.1689,47.9819,104.4617,190.0819,105.6246,63.8057,47.7413,37.8618,35.2893,28.3673,,23.3908,20.9942,24.4869,52.8019,12.8012,,,15.5681,17.5385,226.8889,80.3571,14.8643,27.8441,,,18.0631,31.9977,45.7249,30.4092,29.8433,30.2942,28.0456,26.5892,27.2869,,37.8688,16.3764,16.651,,14.1253,8.0109,,97.5823,8.1669,15.3699,28.4025,-432.3029,35.883,58.9947,59.7669,55.0312,51.8237,33.8308,28.8021,1.1787,,,,48.4855,55.3611,53.9563,74.9349,55.1095,
Pretax Margin,PRETAX_INC_TO_NET_SALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4599,23.8363,24.2012,1.8586,30.0701,36.3271,35.7834,34.8421,33.3404,35.9674,39.7468,38.6482,36.9594,36.8981,32.07,34.7943,33.3154,33.0421,30.4793,30.1149,14.6529,34.3039,33.6087,34.7619,38.4887,36.9889,35.6891,37.2495,37.2275,27.895,34.179,34.5679,32.9649,33.302,29.5587,21.0839,24.5926,29.9745,28.2368,27.4466,28.9107,29.0013,27.5964,23.3432,25.0069,26.6775,27.9574,26.1901,24.38,25.3196,28.4605,26.9253,26.3083,27.5515,16.8281,28.7304,24.8059,33.8503,12.9069,29.8844,25.6442,22.4167,31.1909,21.3042,23.2317,18.8464,21.6127,28.9325,32.8465,38.4767,35.5284,35.4188,32.3956,27.8396,27.2856,23.4948,22.5476,26.0865,29.359,27.6388,28.2841,35.1569,32.5116,
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3212,9.7714,11.2913,6.4504,19.7867,29.3823,24.7609,24.149,19.395,26.2802,29.3599,27.2658,32.1546,27.3518,23.8927,25.2872,24.9954,25.2039,23.2409,23.2782,6.7084,25.8274,26.8798,27.5697,29.5797,28.8561,26.9795,29.742,30.1303,20.9679,27.7532,28.0761,25.5574,27.1489,23.9942,16.2207,20.1609,27.2411,21.1643,22.9969,24.7151,23.6706,21.429,17.6965,20.4828,20.3674,22.1752,21.3066,23.0813,20.7681,22.6837,22.5424,20.4612,21.9232,13.5486,24.2402,-9.3432,30.1837,9.7835,27.2436,22.7824,18.3192,25.5418,17.4523,23.1601,16.6088,18.1711,24.3584,26.7619,32.4149,29.937,29.0795,27.4039,24.1667,22.9633,20.1326,17.915,21.5671,24.6207,25.6725,23.9683,29.3796,27.8717,
