JPM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9453,,1.1467,1.06,0.93,11.16,0.39,0.72,0.34,0.52,0.12,0.58,0.59,0.16,0.36,0.69,0.93,0.8,0.92,0.94,0.88,0.61,0.65,0.83,0.65,0.75,0.75,0.87,0.97,0.94,1.06,1.28,1.25,1.01,0.86,0.29,0.56,0.28,-0.09,0.2366,0.5394,0.8791,0.8415,1.2236,1.1109,1.3865,1.4661,1.4834,1.5811,1.0376,1.0903,1.598,1.1652,1.429,1.7428,1.6497,1.6797,1.5038,1.4743,1.3011,1.5753,1.4913,1.4766,1.5942,1.6088,1.9342,1.2679,1.3518,1.447,1.585,1.7721,1.6983,1.8369,1.7519,1.5874,2.3981,2.31,2.3589,1.9866,2.6346,2.6083,2.6931,2.883,0.8355,1.4167,3.0635,3.8695,4.5138,3.8339,3.7631,3.3706,2.797,2.8441,3.1462,3.6009,4.195,4.8625,4.496,3.1186,4.4345,6.2417,4.4843
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034.6,2019.1005,,1971.4005,1945.0995,1939.2,1853.1,2007.1,2032.2,2033.6,2020.9,2007.4,2005.8,2016,2005.8,1935,2021.9,2050.6,2068.2,2079.3,2092.7,2099.6,3592,3602,3569.8,3548.3,3547.7,3564,3570.8,3572.2,3574,3578.6,3559.5,3521.6,3477.7,3471.8,3494.7,3531,3444.6,3737.5,3758.7,3824.1,3962,3974.1,3994.7,4005.6,3971.9,3935.2,4014.1,3983.2,3872.2,3811.7,3833.4,3820.5,3813.9,3820.9,3847,3814.3,3767,3797.1,3823.6,3812.5,3788.7,3765.2,3757.5,3743.6,3725.6,3704.6,3737.6,3706.2,3669.8,3646.6,3630.4,3599,3559.6,3512.2,3479.5,3434.7,3394.3,3347.3,3308.2,3259.7,3207.2,3146.5,3100.7,3081,3082.8,3085.1,3078.9,3041.9,3005.1,2981.8,2981,2966.3,2965.4,2967.1,2972.7,2948.3,2932.1,2919.1,2912.8,2894.9,2865.9
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.93,,1.1,1.01,0.83,10.39,0.34,0.58,0.18,0.22,-0.18,0.48,0.5,0.01,-0.2,0.69,0.89,0.78,0.89,0.92,-0.27,0.39,0.46,0.63,0.28,0.71,0.76,0.86,0.99,0.92,1.26,1.34,1.2,0.97,0.86,0.68,0.54,0.11,0.07,0.4,0.28,0.82,0.74,0.74,1.09,1.01,1.12,1.28,1.27,1.02,0.9,1.19,1.21,1.4,1.39,1.59,1.6,-0.17,1.3,1.28,1.46,1.35,1.19,1.45,1.54,1.68,1.32,1.35,1.55,1.58,1.71,1.65,1.82,1.76,1.07,2.37,2.29,2.34,1.98,2.65,2.82,2.68,2.5714,0.78,1.38,2.92,3.79,4.5,3.78,3.74,3.33,2.63,2.76,3.12,3.57,4.1,4.75,4.33,3.04,4.44,6.12,4.37
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.93,,1.1,1.01,0.83,10.39,0.34,0.59,0.18,0.22,-0.18,0.48,0.5,0.01,-0.2,0.69,0.89,0.78,0.89,0.92,-0.27,0.39,0.46,0.63,0.26,0.7,0.74,0.85,0.98,0.9,1.09,1.34,1.2,0.97,0.86,0.68,0.54,-0.06,-0.28,0.4,0.28,0.8,0.74,0.74,1.09,1.01,1.12,1.28,1.27,1.02,0.9,1.19,1.21,1.4,1.39,1.59,1.6,-0.17,1.3,1.28,1.46,1.35,1.19,1.45,1.54,1.68,1.32,1.35,1.55,1.58,1.71,1.65,1.82,1.76,1.07,2.37,2.29,2.34,1.98,2.65,2.82,2.68,2.5714,0.78,1.38,2.92,3.79,4.5,3.78,3.74,3.33,2.63,2.76,3.12,3.57,4.1,4.75,4.33,3.04,4.44,6.12,4.37
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.9067,,1.0867,1.01,0.89,10.39,0.37,0.7,0.33,0.51,0.12,0.57,0.58,0.16,0.36,0.69,0.92,0.78,0.89,0.92,0.85,0.6,0.64,0.81,0.64,0.74,0.73,0.85,0.95,0.91,1.02,1.24,1.21,0.98,0.86,0.27,0.54,0.28,-0.09,0.2323,0.5373,0.8751,0.8327,1.2117,1.1056,1.3785,1.4581,1.4719,1.5691,1.0376,1.0889,1.588,1.1587,1.4233,1.7335,1.6336,1.6661,1.5038,1.4603,1.289,1.5617,1.4747,1.4612,1.5796,1.5905,1.915,1.2526,1.342,1.4395,1.5674,1.751,1.689,1.8229,1.7405,1.5727,2.3859,2.29,2.3447,1.9758,2.6307,2.6011,2.6825,2.876,0.8302,1.4103,3.0543,3.8607,4.5072,3.828,3.76,3.3663,2.7915,2.8375,3.1408,3.594,4.1874,4.8529,4.4927,3.115,4.4245,6.2302,4.4714
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,,,,,,,,,,US GAAP,,,,US GAAP,,,,US GAAP,,,,US GAAP,,,,US GAAP,,,,US GAAP,,,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,N.A.,US GAAP,US GAAP,US GAAP,N.A.,US GAAP,US GAAP,US GAAP,N.A.,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Margin,OPER_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.876,38.0545,,40.0569,35.0553,33.9482,31.8396,15.8826,26.7539,15.4708,21.0233,4.1508,22.9271,23.6071,7.0678,14.7565,25.2439,31.7357,31.2339,31.0061,32.3382,31.5734,24.3423,22.6255,31.7139,26.4106,27.2135,27.3791,30.0267,33.3886,32.2597,32.8969,36.8852,33.9274,31.4114,23.838,12.0485,18.8162,-0.3868,-10.3797,12.2118,15.892,19.0181,16.7329,16.3962,28.3136,26.0368,26.868,31.9456,30.3484,24.4834,22.1089,26.7964,31.56,31.7585,29.3832,36.1516,36.8807,0.1471,32.389,33.2931,34.6665,32.343,28.5758,34.1727,35.1797,29.5435,32.2089,32.609,38.3101,36.2299,37.1278,33.4456,37.8882,37.3602,33.749,38.2055,38.0932,39.2113,33.8619,38.5709,39.4546,38.9369,38.2986,11.3484,17.1126,40.229,51.7334,54.8472,49.5325,47.5967,43.2614,32.7604,35.3736,36.6824,38.3159,41.636,42.5739,41.9647,29.3617,41.2386,46.6833,39.804
Profit Margin,PROF_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1977,24.6044,,26.0962,22.6708,20.6317,23.6724,9.4893,14.5281,5.5014,6.1097,-5.0479,12.9245,13.5727,0.5758,-5.1634,16.6548,20.2236,20.9254,21.3346,21.4994,-6.3728,11.3395,12.8649,16.5897,7.9216,17.7147,19.9807,20.0939,23.4655,21.4091,27.8198,26.1043,22.3926,20.9347,17.0904,14.0497,10.8865,3.576,4.0752,8.5554,10.6194,13.4776,14.1513,12.0198,19.1028,18.5443,18.511,22.0253,20.2808,17.9354,17.363,18.9007,22.3625,22.6994,24.0646,25.9892,25.7665,-1.6438,22.7932,22.6965,24.2321,22.7431,21.6747,24.5741,26.4153,29.8683,23.7448,23.7532,25.4307,25.4772,28.7774,25.8551,27.3172,26.3195,17.3038,31.218,29.9643,30.741,27.0635,31.518,33.5757,30.9993,29.9747,10.1287,14.1708,32.2782,41.3704,44.3191,39.2008,39.4205,35.5436,26.9623,28.1589,29.7622,31.8638,32.9135,35.0352,32.9814,24.1277,32.0003,36.1534,30.2387
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165800,152408.6969,129175.9236,128310.2046,109130.3803,113031.0095,116710.82,110072.4615,113404.3568,122009.4165,128360.2151,,111511.202,124618.1058,123362.7813,,108611.6495,115913.6397,109414.0484,122943.9792,123922.8414,138043.2937,142237.4045,,152982.3354,163662.5566,167434.7671,155715.6917,159298.5991,146915.4507,136169.8212,100979.6369,111241.5041,134736.6887,133944.7459,136488.5607,118754.3856,135935.011,120774.1082,113711.4142,123453.5986,118400.8496,122253.5437,105609.3009,93766.4564,111213.0701,95605.6329,107105.8421,101119.6005,107917.9986,108839.1462,99999.6079,101558.1458,102597.634,109061.4702,108454.2139,102084.4468,107628.1905,107984.9574,104358.4891,99576.699,107029.7363,111836.8979,112002.9713,107205.5228,113324.8087,117039.8424,117163.6124,112548.9528,127272.7989,129808.4146,128434.5098,128045.1377,140856.5692,140997.6351,140550.9548,133025.3988,128575.8803,137641.6969,120698.3983,119940.7874,129739.734,122378.9935,116810.2637,113181.4408,118055.2514,122921.8583,141465.0887,161407.1761,184056.0232,203861.8171,199903.4565,199747.6817,212521.7603,242546.4391,220428.8657
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0016,14.5489,11.1849,9.7828,4.0243,3.4557,4.9923,3.9594,3.9613,4.9394,6.6169,10.1718,15.3698,16.0889,10.8109,6.1993,5.8847,6.2712,8.418,7.0575,7.976,8.7073,10.9637,11.4868,12.9587,14.2894,14.6536,14.4901,12.8571,10.6448,8.6287,5.9169,3.82,3.0906,2.3639,4.1879,6.0125,6.9464,8.7402,8.9388,9.6879,10.8876,11.0245,10.8958,10.2093,9.6001,9.2361,9.8499,10.7227,11.3223,12.0036,8.7552,8.3639,7.6087,7.2542,10.0938,9.7456,9.8515,9.8058,10.2053,10.3371,10.0351,9.9186,9.5972,10.1578,10.4718,10.7208,10.8742,9.8596,10.7969,11.278,12.0128,13.3488,13.4875,13.915,14.2096,14.9067,12.2058,9.9412,9.9791,11.3352,16.1674,18.8794,19.4558,18.2874,16.1275,14.6772,13.8022,13.6939,15.2215,17.1083,18.1555,16.8938,16.6575,17.354,16.9557
Return on Assets,RETURN_ON_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9236,0.8052,0.6312,0.4953,0.2405,0.2071,0.2927,0.223,0.229,0.2836,0.3733,0.5824,0.8785,0.9316,0.6016,0.483,0.4632,0.485,0.6377,0.6228,0.7201,0.7587,0.948,0.9733,1.1327,1.1817,1.2092,1.201,1.0547,0.8348,0.663,0.4221,0.3,0.2887,0.3204,0.4264,0.5575,0.6127,0.7418,0.7563,0.8372,0.9044,0.9498,0.9063,0.8658,0.812,0.7879,0.8381,0.9204,0.972,1.0328,0.7665,0.7507,0.6848,0.6511,0.8854,0.8718,0.886,0.9135,0.9684,0.9926,0.9617,0.9748,0.9493,1.0215,1.0326,1.0534,1.0596,0.9729,1.0359,1.0864,1.1448,1.2596,1.2321,1.2892,1.3003,1.3722,1.025,0.8468,0.849,0.9595,1.1881,1.3868,1.4299,1.3561,1.1072,1.0369,0.9843,1.017,1.0915,1.241,1.3361,1.3142,1.2852,1.3488,1.3264
Return on Capital,RETURN_ON_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1577,1.7341,1.3844,0.9668,0.5511,0.4327,0.6179,0.4823,0.5153,0.6019,0.8223,1.1673,1.9834,1.899,1.2791,0.9346,1.0056,0.9646,1.302,1.2774,1.58,1.6403,2.0003,2.1159,2.6726,2.6833,2.5015,2.7162,2.5077,1.9319,1.4218,0.9955,0.7402,0.6646,0.7135,0.98,1.3582,1.3491,1.6407,1.6419,1.9104,1.9969,2.1811,2.1006,2.0993,1.9495,1.942,2.12,2.419,2.4819,2.6382,2.0214,2.0186,1.7779,1.6938,2.4123,2.4058,2.3871,2.4443,2.6287,2.8235,2.6735,2.6558,2.5969,2.952,2.9139,2.9673,3.0026,2.8118,2.9853,3.1255,3.3065,3.6879,3.4845,3.7011,3.721,4.098,3.0121,2.5665,2.6358,3.1899,3.9067,4.6956,5.0095,5.0248,4.0349,3.8192,3.6079,3.8461,4.0425,4.4359,4.6377,4.6422,4.2151,4.2058,4.1052
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1273,2.1164,1.9082,2.1187,2.1526,2.354,2.2682,2.3321,,,,,,,2.3617,2.6218,2.3505,2.6742,2.7121,2.7015,2.7054,3.2305,3.0572,3.0232,3.4528,3.6051,3.3333,2.9874,3.1432,3.4135,3.7621,4.1209,4.1888,5.0758,4.4414,4.3663,3.7473,3.746,3.0551,3.1329,2.947,2.9589,2.6887,2.5375,2.6505,2.8541,2.8391,2.9764,2.1341,2.0524,1.8115,1.7911,2.6354,2.7559,2.7217,2.8141,3.0017,3.2887,3.2002,3.234,3.2415,3.615,3.4709,3.4958,3.55,3.4364,3.5697,3.7028,3.8202,4.2178,4.0345,4.2606,4.3394,4.7148,4.2483,4.7515,4.7614,5.0722,4.388,3.9387,4.0265,4.0697,3.7178,3.8273,3.9218,4.544,4.7547,5.2733,5.4332,5.5612,4.9651,4.9121,4.9055
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Margin,OPER_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.876,38.0545,,40.0569,35.0553,33.9482,31.8396,15.8826,26.7539,15.4708,21.0233,4.1508,22.9271,23.6071,7.0678,14.7565,25.2439,31.7357,31.2339,31.0061,32.3382,31.5734,24.3423,22.6255,31.7139,26.4106,27.2135,27.3791,30.0267,33.3886,32.2597,32.8969,36.8852,33.9274,31.4114,23.838,12.0485,18.8162,-0.3868,-10.3797,12.2118,15.892,19.0181,16.7329,16.3962,28.3136,26.0368,26.868,31.9456,30.3484,24.4834,22.1089,26.7964,31.56,31.7585,29.3832,36.1516,36.8807,0.1471,32.389,33.2931,34.6665,32.343,28.5758,34.1727,35.1797,29.5435,32.2089,32.609,38.3101,36.2299,37.1278,33.4456,37.8882,37.3602,33.749,38.2055,38.0932,39.2113,33.8619,38.5709,39.4546,38.9369,38.2986,11.3484,17.1126,40.229,51.7334,54.8472,49.5325,47.5967,43.2614,32.7604,35.3736,36.6824,38.3159,41.636,42.5739,41.9647,29.3617,41.2386,46.6833,39.804
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4849,,,-224.6673,-167.8295,-155.5556,-91.5165,-103.1674,-71.145,103.1294,-262.1891,90.7407,47.0297,73.9041,232.7731,129.066,136.7776,-34.9425,12.9947,5.2457,30.5139,15.1684,47.6136,138.698,16.3701,67.8881,95.6828,59.8337,71.8802,36.0544,13.0618,,-326.5884,-580.1572,-372.2182,-3754.4304,12.5507,8.4441,43.0795,95.3857,55.9713,,,106.8848,,60.7867,-631.1475,-48.9518,,-24.5053,156.7607,100.9624,,75.8166,-391.9172,,-70.9491,-139.3996,582.8402,-246.0591,58.1669,-20.5543,-70.1007,644.4444,-78.1137,169.5423,116.6931,266.3951,44.8824,30.2739,68.1768,,78.2008,40.7023,67.3603,35.5327,46.9572,77.4648,35.2536,88.3369,-958.5424,,,470.9111,363.995,,597.449,-3229.4872,-492.8341,,,10.9641,77.3585,63.4535,66.1079,,36.9874,65.7708,8.8129
Pretax Margin,PRETAX_INC_TO_NET_SALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3651,23.0552,,24.0939,20.7773,17.2388,15.2623,7.3047,12.5208,4.658,5.3956,-5.4323,13.5712,13.9321,0.57,-5.487,18.5263,23.366,23.3183,25.2094,24.972,-9.5751,11.8397,13.7677,17.23,6.3097,17.6247,18.2948,19.3587,21.2477,19.782,20.743,25.4089,21.1123,17.854,14.3224,13.2085,10.389,-9.4803,-5.3626,10.3299,13.8025,16.7955,14.6813,14.7277,25.2621,23.0355,23.6828,28.0117,26.5805,21.4639,19.4597,24.0004,27.8518,28.7277,26.5622,32.8867,33.6251,0.1333,29.3991,30.5,31.9921,30.105,26.385,31.6868,32.6691,27.3633,29.3116,29.8217,34.791,32.9366,33.2669,29.8779,33.4179,32.4295,29.0399,33.0195,32.1983,32.5974,26.96,31.1517,31.5476,31.5195,31.8444,9.7249,16.0186,38.0357,49.551,52.5945,47.4271,45.4504,41.2616,31.1153,31.7384,29.4077,27.9209,29.2211,28.7484,27.1182,18.2952,26.0869,30.8489,24.3709
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1977,24.6044,,26.0962,22.6708,20.6317,19.6406,9.4893,14.831,5.5014,6.1097,-5.0479,12.9245,13.5727,0.5758,-5.1634,16.6548,20.2236,20.9254,21.3346,21.4994,-6.3728,11.3395,12.8649,16.5897,7.4673,17.3081,19.566,19.7417,23.0943,20.987,24.0089,26.1043,22.3926,20.9347,17.0904,14.0497,10.8865,-0.3664,-3.6166,8.5554,10.6194,13.1921,14.1513,12.0198,19.1028,18.5443,18.511,22.0253,20.2808,17.9354,17.363,18.9007,22.3625,22.6994,24.0646,25.9892,25.7665,-1.6438,22.7932,22.6965,24.2321,22.7431,21.6747,24.5741,26.4153,29.8683,23.7448,23.7532,25.4307,25.4772,28.7774,25.8551,27.3172,26.3195,17.3038,31.218,29.9643,30.741,27.0635,31.518,33.5757,30.9993,29.9747,10.1287,14.1708,32.2782,41.3704,44.3191,39.2008,39.4205,35.5436,26.9623,28.1589,29.7622,31.8638,32.9135,35.0352,32.9814,24.1277,32.0003,36.1534,30.2387
Net Income Margin,PROF_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1977,24.6044,,26.0962,22.6708,20.6317,23.6724,9.4893,14.5281,5.5014,6.1097,-5.0479,12.9245,13.5727,0.5758,-5.1634,16.6548,20.2236,20.9254,21.3346,21.4994,-6.3728,11.3395,12.8649,16.5897,7.9216,17.7147,19.9807,20.0939,23.4655,21.4091,27.8198,26.1043,22.3926,20.9347,17.0904,14.0497,10.8865,3.576,4.0752,8.5554,10.6194,13.4776,14.1513,12.0198,19.1028,18.5443,18.511,22.0253,20.2808,17.9354,17.363,18.9007,22.3625,22.6994,24.0646,25.9892,25.7665,-1.6438,22.7932,22.6965,24.2321,22.7431,21.6747,24.5741,26.4153,29.8683,23.7448,23.7532,25.4307,25.4772,28.7774,25.8551,27.3172,26.3195,17.3038,31.218,29.9643,30.741,27.0635,31.518,33.5757,30.9993,29.9747,10.1287,14.1708,32.2782,41.3704,44.3191,39.2008,39.4205,35.5436,26.9623,28.1589,29.7622,31.8638,32.9135,35.0352,32.9814,24.1277,32.0003,36.1534,30.2387
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8444,24.2542,,25.8,22.3857,20.3032,23.6724,9.2079,14.2736,5.2249,5.9328,-5.2456,12.7534,13.4011,0.3887,-5.3235,16.5001,20.0908,20.437,21.1858,21.3546,-6.524,11.2355,12.8649,16.5531,7.8977,17.6937,19.9659,20.0678,23.4655,21.4091,27.8198,26.1043,22.3926,20.9347,17.0904,14.0497,10.3973,2.4835,1.6196,6.0699,4.1837,12.1704,12.7439,10.7477,17.3818,16.8695,16.9055,20.364,18.9215,16.5636,15.9517,17.5687,20.8927,21.2598,22.5003,24.4049,24.1998,-2.8118,21.3249,21.0769,22.5626,20.9571,19.7275,22.6544,24.2567,27.5241,21.4464,21.7135,23.4947,23.5561,26.7368,23.9585,25.4751,24.482,15.4312,29.5195,28.3933,29.1563,25.4357,30.0553,31.9755,29.381,28.4654,8.5944,12.8949,30.8152,39.8807,42.9275,37.7178,37.8757,33.9303,25.5396,26.6808,28.2889,30.677,31.7948,33.9192,31.8127,22.9948,30.8628,35.2948,29.3923
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
