V US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,
EBITDA,EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749,699,705,744,1018,937,879,930,1279,1184,1200,1191,1433,1453,1419,1439,1698,1686,-2523,1611,1892,1958,1929,1857,2184,2155,2129,1664,2358,2406,2392,2402,2516,2555,548,2766,3246,2939,3156,3359,3472,3489,3037,3569,3876,3801,4073,3907,4224,4145,3225,3368,4041,3782,4268,4517,4974,5009,4378,5313,5317,5570,5259,5797,6201,5603,6202,
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2558,48.603,50.7454,53.0782,54.4639,56.4358,57.3885,58.6815,60.186,60.0264,61.1542,61.6005,62.5163,63.2726,63.4995,22.8333,23.7213,24.8694,26.4685,64.0603,64.8327,65.5911,66.0999,66.889,64.0214,64.2432,64.9488,65.1499,68.8617,69.0891,69.0826,55.7324,55.5961,57.0472,56.4442,68.1547,69.1796,68.9056,69.6254,66.685,65.8305,65.7366,65.8992,68.7753,68.1421,68.034,68.4488,67.7432,68.4885,68.8067,67.5096,68.2607,68.8986,68.8503,69.6737,67.2246,67.1238,66.31,66.4171,67.4154,67.2006,68.4447,66.9576,68.1683,
EBIT,EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,641,648,685,966,881,822,869,1217,1122,1137,1113,1366,1383,1345,1362,1618,1606,-2607,1522,1800,1860,1828,1751,2077,2048,2020,1552,2238,2281,2262,2283,2396,2434,428,2625,3100,2808,3024,3212,3327,3336,2885,3406,3717,3641,3908,3735,4016,3924,2999,3142,3844,3581,4064,4315,4776,4802,4148,5087,5090,5336,5024,5550,5954,5354,5938,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Margin,OPER_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1022,44.1156,40.1736,40.0819,55.5492,53.4912,49.9392,46.248,62.0918,57.2741,56.0375,52.5744,61.0366,61.6036,57.9242,57.1548,63.5257,62.2964,-101.6374,55.7305,63.2467,62.8803,60.913,58.8967,65.832,64.7487,64.0254,48.0644,66.1739,66.9111,64.2979,63.9317,67.209,67.1263,11.7906,61.6053,69.4911,62.7206,66.2432,66.1586,68.4286,65.7599,55.0573,62.6794,67.5082,66.2723,66.9178,60.8604,66.3363,67.0311,62.0012,61.5958,67.5928,62.5065,66.2969,65.7875,67.6583,66.7965,57.0172,65.3268,64.1381,66.8253,61.8491,64.4674,68.9599,61.0142,66.7191,
Profit Margin,PROF_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4946,21.6105,26.1624,-20.8309,33.0075,32.544,44.2892,27.355,38.9286,36.3961,35.2883,36.5612,39.4996,39.2428,43.2817,36.9282,40.4005,50.1164,-71.6959,60.8568,45.4322,42.9344,40.8197,40.0942,44.5959,50.5217,43.1062,33.2301,46.3927,45.4679,48.2376,42.3411,54.446,47.0767,11.3499,45.318,46.4022,9.6046,45.1041,44.0783,51.8717,51.3503,44.4466,52.3555,54.0683,54.1864,53.0993,49.2912,54.0469,52.6819,49.0593,41.8937,54.9675,52.819,42.0065,54.6425,56.0844,50.7303,46.8866,50.5971,52.6588,53.3125,51.1634,54.3733,56.6366,53.1396,54.7416,
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296444.059,,,,,,,,311323.5294,,,,317733.3333,,,,321294.1176,,,,312947.3684,,,,339894.7368,,,,316017.6991,,,,,,,,,,,,,,,,,,,,248829.2683,,,,305069.7674,,,,293849.0566,,,,298923.6111,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9744,5.2931,6.523,,11.2697,11.7953,11.4009,12.3071,12.5967,12.9852,13.9731,14.1891,14.3636,15.3863,5.2176,7.9309,8.7741,8.6112,20.5038,18.2752,18.6587,20.0111,20.4719,20.0357,20.3799,19.9957,21.0649,22.1046,23.3376,23.9053,19.9939,21.0074,22.06,17.8324,24.249,24.6156,26.5176,34.6608,35.3665,36.941,38.0366,38.7479,41.4771,41.8297,42.3519,43.0904,39.338,36.0123,33.6029,33.5959,33.4875,37.5147,39.122,40.8754,43.3972,44.1431,44.5452,45.3116,47.3513,49.1464,49.2301,48.6746,50.6126,
Return on Assets,RETURN_ON_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2033,3.5727,4.4225,,8.0016,8.4926,8.2854,9.0304,9.3967,9.7909,10.5566,10.7088,10.8806,11.8033,3.7219,5.7347,6.7237,6.6365,14.7246,13.1106,14.129,14.9941,15.233,14.5938,14.9071,14.5917,15.2755,16.0599,14.2764,14.7208,10.7884,11.4912,10.3425,8.2397,10.1512,10.1491,10.9574,14.1016,14.5201,15.0158,15.4976,16.0222,17.1936,17.0382,16.9016,17.4959,15.8695,14.1583,13.8138,13.9359,13.5331,15.0304,16.1917,16.9935,17.3738,17.764,18.1417,18.7313,18.9322,19.6284,20.3444,20.5298,21.1966,
Return on Capital,RETURN_ON_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3397,5.5573,6.7732,,11.4946,12.0141,11.5803,12.4703,,,,,14.4408,15.4596,5.3066,,,,,,,,,,,,,,,,,16.0494,13.9297,11.2289,14.111,14.0541,15.2673,20.0641,20.5959,21.2126,22.3275,22.8447,24.3136,24.5227,24.754,24.7557,22.3714,20.0723,20.0377,19.8615,19.4468,21.1653,23.3655,24.4851,25.4437,26.1714,27.2914,27.9624,28.6784,30.1049,31.4793,31.4521,32.7685,
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8249,8.1106,8.2826,,10.0915,10.6653,11.4589,10.5733,12.3508,12.7384,13.1803,,13.8745,14.9093,5.2461,,8.5475,8.3885,20.2364,15.8937,18.5141,19.7874,20.2179,17.3211,20.1432,19.8097,21.1566,19.4402,17.766,18.3249,13.8653,13.4038,13.3618,10.9956,14.0213,12.6598,15.0269,19.743,20.1603,18.7631,21.5087,21.8091,23.2929,22.0043,24.0513,24.3175,21.9653,18.3047,19.7575,19.3638,18.618,18.7723,22.1505,23.6838,25.4274,24.4392,27.8403,28.2133,28.1982,27.3745,30.191,29.9592,31.3457,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Margin,OPER_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1022,44.1156,40.1736,40.0819,55.5492,53.4912,49.9392,46.248,62.0918,57.2741,56.0375,52.5744,61.0366,61.6036,57.9242,57.1548,63.5257,62.2964,-101.6374,55.7305,63.2467,62.8803,60.913,58.8967,65.832,64.7487,64.0254,48.0644,66.1739,66.9111,64.2979,63.9317,67.209,67.1263,11.7906,61.6053,69.4911,62.7206,66.2432,66.1586,68.4286,65.7599,55.0573,62.6794,67.5082,66.2723,66.9178,60.8604,66.3363,67.0311,62.0012,61.5958,67.5928,62.5065,66.2969,65.7875,67.6583,66.7965,57.0172,65.3268,64.1381,66.8253,61.8491,64.4674,68.9599,61.0142,66.7191,
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5538,123.7113,527.2727,108.2353,113.5747,77.2436,82.2454,102.521,53.5971,91.2587,70.9898,93.609,81.5534,66.967,,45.977,60.8696,66.8421,1017.2018,94.6281,89.644,91.7073,124.6753,,70.9251,94.7154,66.6667,213.7427,86.3388,70.5069,,49.5652,78.5714,43.9483,277.6471,98.8215,56.6085,88.5906,,33.506,60.559,72.4466,170.5,46.7994,54.562,78.6111,-90.6281,-57.2394,-46.8665,-274.4,82.3666,80.4527,67.93,83.6301,7.3362,62.8664,35.8039,67.0854,103.3019,56.326,123.7822,2.2785,117.6319,
Pretax Margin,PRETAX_INC_TO_NET_SALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9005,25.4646,44.2653,-25.2194,54.8016,53.8555,78.7971,45.9287,61.6327,56.8147,55.2982,56.4478,61.7516,61.3363,66.4513,56.8191,63.4865,62.4127,-101.6374,58.1472,63.2818,62.7789,61.0796,59.4013,66.0222,65.1597,64.3423,48.0025,66.8835,66.9405,61.6259,63.9317,74.0252,67.3194,11.6253,58.9064,66.7787,60.3529,63.8335,63.8311,66.6187,63.4142,53.6641,65.1086,65.9281,66.9276,66.1986,60.4693,65.6426,65.4083,60.6161,59.8902,65.9047,63.3269,71.5987,65.5283,69.3724,63.1799,52.6323,62.5144,62.7142,66.0989,63.351,65.4664,69.9792,62.8262,67.2921,
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4946,21.6105,26.1624,-20.8309,33.0075,32.4833,44.2892,27.355,38.9286,36.3451,35.2883,36.5139,39.4996,39.1982,43.2386,36.8443,40.3219,50.1164,-71.6959,60.8568,45.4322,42.9344,40.8197,40.0942,44.5959,50.5217,43.1062,33.2301,46.3927,45.4679,48.2376,42.3411,54.446,47.0767,11.3499,45.318,46.4022,9.6046,45.1041,44.0783,51.8717,51.3503,44.4466,52.3555,54.0683,54.1864,53.0993,49.2912,54.0469,52.6819,49.0593,41.8937,54.9675,52.819,42.0065,54.6425,56.0844,50.7303,46.8866,50.5971,52.6588,53.3125,51.1634,54.3733,56.6366,53.1396,54.7416,
Net Income Margin,PROF_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4946,21.6105,26.1624,-20.8309,33.0075,32.544,44.2892,27.355,38.9286,36.3961,35.2883,36.5612,39.4996,39.2428,43.2817,36.9282,40.4005,50.1164,-71.6959,60.8568,45.4322,42.9344,40.8197,40.0942,44.5959,50.5217,43.1062,33.2301,46.3927,45.4679,48.2376,42.3411,54.446,47.0767,11.3499,45.318,46.4022,9.6046,45.1041,44.0783,51.8717,51.3503,44.4466,52.3555,54.0683,54.1864,53.0993,49.2912,54.0469,52.6819,49.0593,41.8937,54.9675,52.819,42.0065,54.6425,56.0844,50.7303,46.8866,50.5971,52.6588,53.3125,51.1634,54.3733,56.6366,53.1396,54.7416,
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4946,21.6105,26.1624,-20.8309,33.0075,32.544,44.2892,27.355,38.9286,36.3961,35.2883,36.5612,39.4996,39.2428,43.2817,36.9282,40.4005,50.1164,-71.6959,60.8568,45.4322,42.9344,40.8197,40.0942,44.5959,50.5217,43.1062,33.2301,46.3927,45.4679,48.2376,42.3411,54.446,47.0767,11.3499,45.318,46.4022,9.6046,45.1041,44.0783,51.8717,51.3503,44.4466,52.3555,54.0683,54.1864,53.0993,49.2912,54.0469,52.6819,49.0593,41.8937,54.9675,52.819,42.0065,54.6425,56.0844,50.7303,46.8866,50.5971,52.6588,53.3125,51.1634,54.3733,56.6366,53.1396,54.7416,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9209,15.1351,40.8964,,39.7692,39.6843,43.7934,40.4403,36.8377,36.0288,36.1854,35.3138,36.0347,36.093,34.932,35.1551,36.4873,19.7017,,,28.2066,31.6101,33.1697,32.5028,32.4532,22.4648,33.0049,30.7742,30.6366,32.0771,21.7251,33.7714,26.4494,30.0696,2.3697,23.0677,30.5136,84.0859,29.3411,30.9455,22.1365,19.0239,17.1764,19.5873,17.989,19.0373,19.7879,18.4856,17.6648,19.4568,19.0655,30.0491,16.5955,16.5932,41.3306,16.6124,19.1546,19.705,10.9167,19.0633,16.0338,19.3444,19.2382,16.9446,19.0665,15.4181,18.6509,
