TM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297587,229063,232872,354006,613637,360907,380637,288603,392447,460559,467882,565200,,466806,486449,435631,421860,469155,685844,639243,610887,644738,682079,654327,820887,686495,731886,465004,453054,183433,-282139,-914729,-138508,75533,224887,129556,263004,129069,129668,41549,-80531,79128,198602,235674,415203,379334,131249,477863,724163,619362,678956,418599,771826,737348,846461,537193,845259,829892,777761,530469,677056,499478,587538,429753,679348,572825,750940,617316,813864,734945,176970,559686,850986,770834,771940,399182,118233,610582,1141174,1062366,1257219,886825,1093507,752979,1021748,812528,1034998,799459,1720553,1800972,1835540,1608020,1872258,,,,,,,,,,,,,,,,,,,,,
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130819,98380,116124,134835,251851,141649,157398,99896,156673,153258,166777,204596,,159031,173004,123568,174968,150148,259286,210751,230395,226027,240214,201676,304135,219798,250833,136729,174666,84189,-100351,-214946,-47797,-5705,115719,30447,122448,77401,65718,47254,-43188,14978,152535,137947,164914,145932,67353,173487,210130,227050,207748,122880,259973,233618,296113,103765,267957,248411,220455,141446,187825,167099,170320,103656,185398,188849,-95938,226097,246163,227428,6148,180205,219603,218224,185748,58242,-31214,128841,273666,278684,330679,248309,274665,262264,263496,351224,290432,270613,393663,480341,451437,568223,508435,,,,,,,,,,,,,,,,,,,,,
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166768,130683,116748,219171,361786,219258,223239,188707,235774,307301,301105,360604,,307775,313445,312063,282516,319007,426558,428492,380492,418711,441865,452651,516752,466697,481053,331339,373452,148318,-179428,-803557,-87165,22188,167588,141601,210582,115458,110876,28569,2859,103474,101723,160246,321630,285918,122083,353851,603971,461165,560494,366018,617182,564297,635489,490936,678204,642241,663372,450394,579231,410774,506825,430155,631752,481217,970686,502451,684236,613569,203100,484682,631383,552610,586192,340940,149447,481741,867508,783682,926540,638516,818842,490715,758252,461304,744566,528846,1326890,1320631,1384103,1039797,1363823,,,,,,,,,,,,,,,,,,,,,
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166768,130683,116748,,,219171,361786,219258,223239,,188707,235774,307301,301105,,360604,,307775,313445,,312063,282516,319007,426558,428492,380492,418711,441865,452651,516752,466697,481053,,328275,373452,148318,-179428,,-803557,-87165,22188,167588,,141601,210582,115458,110876,,28569,2859,103474,101723,160246,321630,285918,122083,,,353851,603971,461165,560494,,366018,617182,564297,635489,,490936,678204,642241,663372,,450394,579231,410774,506825,430155,631752,481217,970686,,502451,684236,613569,203100,,484682,631383,552610,586192,,340940,149447,481741,867508,,783682,926540,638516,818842,,490715,758252,461304,744566,528846,1326890,1320631,1384103,,1039797,1363823,
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4435,1902,5276,5928,9414,23366,7142,13930,13189,5426,14635,9436,,10354,16912,21374,15617,15386,28984,24406,8988,12999,15094,12606,25211,15828,22385,14538,19793,8508,-14787,-37792,-9343,352,14369,29378,20116,16768,17247,3171,1699,23053,20779,39212,31283,27996,22169,39871,41777,22736,35030,68986,29408,25235,35462,44461,31810,30523,35407,23777,26766,17066,20294,31750,18696,22945,28837,21645,26930,28483,22185,25116,12252,22201,26894,13638,-9396,11216,28812,6485,28708,11864,27104,-43173,21432,27040,16624,-23446,15518,42575,26289,42106,30476,,,,,,,,,,,,,,,,,,,,,
"Net Income, GAAP",NET_INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162333,128781,111472,213243,352372,195892,216097,174777,222585,301875,286470,351168,,297421,296533,290689,266899,303621,397574,404086,371504,405712,426771,440045,491541,450869,458668,316801,353659,139810,-164641,-765765,-77822,21836,153219,112223,190466,98690,93629,25398,1160,80421,80944,121034,290347,257922,99914,313980,562194,438429,525464,297032,587774,539062,600027,446475,646394,611718,627965,426617,552465,393708,486531,398405,613056,458272,941849,480806,657306,585086,180915,459566,619131,530409,559298,327302,158843,470525,838696,777197,897832,626652,791738,533888,736820,434264,727942,552292,1311372,1278056,1357814,997691,1333347,,,,,,,,,,,,,,,,,,,,,
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,,1224.4,1236,1237,1237,1236,1860,1861,1860,1861,2485,2484,2485,2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,1825,577.6,1213,1212,1212,1212,1213,1212,1213,1211,1212,1213,1212,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162333,128781,111472,213243,352372,195892,216097,174777,222585,301875,286470,351168,,297421,296533,290689,266899,303621,397574,404086,371504,405712,426771,440045,491541,450869,458668,316801,353659,139810,-164641,-765765,-77822,21836,153219,112223,190466,98690,93629,25398,1160,80421,80944,121034,290347,257922,99914,313980,562194,438429,525464,297032,587774,539062,600027,446475,646394,609258,626140,424815,550016,391259,484082,395957,609983,455199,938776,477734,653609,581389,177218,455869,619131,530409,559298,327302,158843,470525,838696,777197,897832,626652,791738,533888,736820,434264,727942,552292,1311372,1278056,1357814,997691,1333347,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162333,128781,111472,213243,352372,195892,216097,174777,222585,301875,286470,351168,,297421,296533,290689,266899,303621,397574,404086,371504,405712,426771,440045,491541,450869,458668,316801,353659,139810,-164641,-765765,-77822,21836,153219,112223,190466,98690,93629,25398,1160,80421,80944,121034,290347,257922,99914,313980,562194,438429,525464,297032,587774,539062,600027,446475,646394,609258,626140,424815,550016,391259,484082,395957,609983,455199,938776,477734,653609,581389,177218,455869,619131,530409,559298,327302,158843,470525,838696,777197,897832,626652,791738,533888,736820,434264,727942,552292,1311372,1278056,1357814,997691,1333347,,,,,,,,,,,,,,,,,,,,,
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11887.5033,13825.161,11318.1273,136151.2044,5034.2328,5463.6372,7250.6475,11806.4365,3415.6629,5451.7752,7285.6404,10236.0635,4036.0455,4244.2236,6193.7433,37766.6696,3697.7035,7541.7034,6212.6378,3851.328,5041.6467,5391.2703,2844.7211,8383.44,3245.0312,5220.2396,5491.1952,8111.664,3160.2374,13088.7782,5067.358,7217.947,5355.5244,6967.7364,5545.1964,7832.552,7281.8248,5839.5644,7400.7456,4446.117,-14939.0798,-71057.9436,354771.168,-9235.215,0,0,0,10231.637,0,0,0,48.37,0,0,0,5324.155,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP GAAP,JP GAAP,JP GAAP,,,JP GAAP,JP GAAP,JP GAAP,JP GAAP,,JP GAAP,US GAAP,US GAAP,US GAAP,,US GAAP,US GAAP,US GAAP,US GAAP,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,JP GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,,US GAAP,US GAAP,US GAAP,US GAAP,,US GAAP,US GAAP,US GAAP,US GAAP,,US GAAP,US GAAP,US GAAP,US GAAP,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,,,US GAAP,US GAAP,US GAAP,US GAAP,,US GAAP,US GAAP,US GAAP,US GAAP,,US GAAP,US GAAP,US GAAP,US GAAP,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,,US GAAP,US GAAP,US GAAP,US GAAP,,US GAAP,IAS/IFRS,IAS/IFRS,IAS/IFRS,,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,,IAS/IFRS,IAS/IFRS,
EBITDA,EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766250,557618,6990,-296699,139849,409765,549294,463177,504716,403645,393846,341645,148250,340737,419959,514511,606275,600459,410686,808577,951044,899612,919651,772658,1008732,991447,1132283,1027177,1137527,1230583,1166990,944708,1024519,859390,846285,875128,974912,955904,1120293,1082786,1096141,1031011,1132434,1000334,1136608,1046478,1047180,764313,411964,918605,1395540,1115929,1437267,1181602,1255499,943209,1082021,1075546,1475288,1132075,1626709,1952546,2196376,1664369,1883740,,,,,,,,,,,,,,,,,,,,,
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0374,2.2465,1.5548,4.6621,8.2428,9.6412,9.4847,8.9924,8.6547,7.3301,7.0652,7.1368,7.6597,9.1139,9.9702,9.7217,10.9952,12.1429,12.9569,14.3387,13.7902,13.9413,14.1475,14.6341,15.2734,15.4086,15.9532,15.9798,15.7722,15.5932,14.592,13.5473,13.0641,12.6738,12.7176,13.4279,14.0707,14.3296,14.5007,14.4466,14.0937,14.0608,13.9627,13.7727,13.3748,12.2259,12.1393,13.209,14.1176,15.9327,16.38,16.1204,15.3526,13.9731,12.9622,12.8626,12.8247,13.5415,14.9339,15.8024,16.4984,16.5933,,,,,,,,,,,,,,,,,,,,,
EBIT,EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291357,215224,307783,309111,394518,336309,379436,253415,340772,426997,401693,497428,,417629,422900,383038,405128,404363,482211,586640,512419,581006,574789,570469,675427,596737,601558,396653,412591,169477,-360551,-682528,-194863,58004,189109,95266,211663,111457,99070,46089,-107963,75390,149684,238516,353143,340607,124757,502381,663383,592092,600509,436128,692728,659218,762880,635738,756001,827404,722266,548300,642230,474635,438586,438921,574294,522247,673645,629676,682687,579158,676129,529571,740611,658607,640097,359917,13920,506061,987941,689826,997489,749976,784370,463862,578655,562789,956652,626930,1120900,1438394,1680944,1112696,1308462,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2845,22.6317,25.1214,23.0975,24.3827,25.1643,24.267,23.3355,20.6201,22.1371,21.0609,15.8393,,20.4611,18.7151,18.9652,19.5856,20.0394,19.5212,18.7619,19.5155,19.734,19.5884,19.9718,19.5225,18.136,18.7016,16.1972,16.7502,13.6254,6.148,-2.1693,7.3842,11.3938,13.8296,13.9093,14.9789,11.7565,12.3718,11.9639,8.8398,11.4254,12.5497,13.286,15.0637,15.3377,13.5501,17.8939,19.7123,18.8125,18.7979,18.8453,20.2719,19.8712,20.2542,18.8591,20.4716,21.868,19.7951,19.5182,19.8796,18.0515,15.7607,17.0166,18.3685,17.9263,18.5072,19.8827,18.6695,17.9896,18.6294,16.7825,18.8068,17.6979,18.1652,17.3249,11.942,16.9483,20.3276,19.2227,20.7879,19.0697,19.5999,16.7283,16.3836,15.4447,19.8191,16.1486,19.5595,20.7257,22.301,20.3221,20.5142,,,,,,,,,,,,,,,,,,,,,
Operating Margin,OPER_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7031,6.1743,8.3232,6.7568,9.8111,8.7002,9.0627,6.3659,8.3259,10.3357,9.1584,10.6187,,9.2491,9.1063,7.8462,8.1322,8.1338,9.0414,10.2018,9.0885,9.9593,9.3514,9.0127,10.3551,9.1953,8.9651,6.0401,6.6385,2.8363,-7.507,-19.3005,-5.0797,1.2772,3.5729,1.8041,4.3446,2.3188,2.12,0.9929,-3.1375,1.6479,3.0766,4.1826,6.4189,6.2996,2.3456,8.6067,10.6051,9.425,9.1193,6.6388,10.8396,10.0569,10.6399,8.9303,10.8191,11.6473,9.8403,7.8646,9.7468,7.323,6.1911,5.8975,8.1488,7.3107,8.857,8.3043,9.2722,7.9214,8.6666,6.8331,9.5918,8.6239,8.4124,5.2167,0.3026,7.4702,12.1219,8.9712,12.5699,9.9391,10.0744,5.7179,6.8148,6.1052,9.8071,6.4697,10.6278,12.5791,13.9601,10.0491,11.0532,,,,,,,,,,,,,,,,,,,,,
Profit Margin,PROF_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.849,3.6944,3.0145,4.6612,8.763,5.0676,5.1614,4.3905,5.4383,7.307,6.5314,7.4964,,6.5869,6.3852,5.9545,5.3575,6.1074,7.4544,7.0271,6.5892,6.9545,6.9432,6.9522,7.5359,6.9476,6.8356,4.8241,5.6903,2.3398,-3.428,-21.6543,-2.0287,0.4808,2.8948,2.1253,3.9095,2.0532,2.0036,0.5471,0.0337,1.7579,1.6637,2.1225,5.2775,4.7703,1.8785,5.3791,8.9875,6.9789,7.9797,4.5215,9.1974,8.2238,8.3686,6.2717,9.2505,8.6111,8.5555,6.1192,8.3845,6.0744,6.8678,5.3531,8.6988,6.4151,12.3834,6.341,8.9275,8.0025,2.319,5.9298,8.0185,6.9452,7.3505,4.744,3.4525,6.9456,10.2907,10.1075,11.314,8.3047,10.1691,6.5811,8.6775,4.7109,7.4625,5.6995,12.4338,11.1769,11.2765,9.0104,11.2634,,,,,,,,,,,,,,,,,,,,,
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14538364.3287,,18543992.347,,15228161.6123,,15073420.2714,,15558584.2761,,17716652.169,,16766362.1848,,,,75330711.8829,,20107777.8982,,19709238.7632,,21141432.36,,20947820.6697,,20773842.9272,19203244.2453,18411691.1169,14913577.2951,11023172.7388,11831636.9648,14075828.2969,16474691.3849,16471006.5816,15228736.2071,15115257.4992,14707626.5052,14610793.9166,10684964.2598,14172070.7911,14981524.0787,17497510.0106,16734211.9831,16374806.5502,17054059.9469,17502611.7098,18524124.5539,18560206.81,19446534.9371,19385856.1416,18638698.9897,19082093.441,20860294.5455,20687941.9021,20014401.4711,20325257.2187,20985121.4812,19983398.1604,18562241.1782,18243953.7921,19839659.7885,20421388.6869,18950883.0616,19240157.1834,20618372.221,20541975.0545,19724846.7605,19664743.5691,21000395.6985,20897168.8193,20361953.1594,20270101.5495,27626546.2692,19063845.1315,12444640.3986,18328879.0165,22147611.1928,20992885.2827,21307283.9751,20268667.1,20965201.3518,21759914.3816,22524586.7719,24427634.4904,25985053.1172,25824523.2987,27779747.0888,29967256.8505,31625775.798,29077753.5301,30751414.4547,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
