META US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Operating Margin,OPER_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9565,50.58,46.2527,59.7811,53.078,45.4749,43.3962,48.4527,36.0113,-62.7534,29.8732,32.9968,25.583,30.9983,36.5079,43.8298,42.9656,47.7663,43.6154,29.4209,26.3336,31.4943,32.415,43.8281,37.3467,42.4798,44.4587,51.8334,41.4218,47.216,49.5933,56.6759,45.5374,44.3126,42.1141,46.2339,22.0004,27.3955,40.7036,42.0169,33.2243,31.9099,37.4476,45.508,43.4756,42.5319,35.929,37.3764,30.5432,28.9987,20.4373,19.8943,25.2295,29.3509,40.2624,40.8467,37.9043,38.0001,
Profit Margin,PROF_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5362,29.9304,28.0514,34.3365,20.9302,17.7654,15.7233,18.1256,12.949,-13.2601,-4.6751,4.0379,14.8834,18.257,20.9325,20.1161,25.5396,27.079,25.039,18.0732,14.3664,17.6893,19.7956,26.6222,32.1813,35.3636,37.3698,40.4246,38.0852,41.7337,45.5461,32.8862,41.6764,38.5912,37.4226,40.6882,16.1106,15.4921,34.506,34.8591,27.6371,27.7091,36.544,39.9651,36.2883,35.7465,31.6925,30.5456,26.7486,23.201,15.8584,14.4629,19.9302,24.3383,33.922,34.9455,33.9295,34.4629,
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353437.5,298954.5069,297786.7203,,343147.8675,,342075.4717,347946.1512,407921.7295,,405010.4384,383684.7149,418632.4601,,368963.9434,375208.4028,460247.4194,395793.499,444015.1776,445878.9112,516717.5035,427916.8887,451205.3442,445845.0248,516709.8188,431331.555,437027.2502,408468.7258,475285.919,399147.5392,425865.678,410225.4241,469093.4983,367469.1307,355712.491,378973.7525,479011.6716,431480.1992,458598.8266,425510.0694,467847.7143,358691.6008,344954.6994,317406.1433,371927.1062,371463.0288,447732.5834,515917.504,595852.4593,525826.1334,551858.0771,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1863,,,,22.8777,,,,-0.187,0.7888,4.3105,7.5968,10.9458,13.3889,15.4357,16.0357,11.3447,10.3064,9.419,8.9725,9.1391,11.5604,14.3686,17.1309,19.7056,21.065,22.4706,24.2797,23.8414,25.5307,26.1382,25.7288,27.9062,23.8266,20.2969,20.6698,19.9643,21.8517,23.6134,23.8747,25.416,28.2389,31.331,32.1031,31.1018,29.0698,25.4786,22.3978,18.5154,17.2911,17.3549,22.2739,28.0385,33.3598,35.3746,
Return on Assets,RETURN_ON_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5682,,,,14.3118,,,,-0.14,0.5903,3.6082,6.6772,9.0309,11.1842,12.9833,14.0538,10.0725,9.1587,8.3884,7.9567,8.1928,10.4016,12.9249,15.4188,17.8179,19.068,20.2652,21.9424,21.2985,22.64,23.2286,22.7425,24.3179,19.7095,16.4633,16.6164,16.0244,16.912,18.3251,18.6631,19.9151,22.3522,25.1086,25.5071,24.2051,22.7851,19.7604,16.5473,13.192,12.2985,11.9766,15.0478,18.8261,22.4665,23.5436,
Return on Capital,RETURN_ON_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0107,,,,0.5929,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8644,19.9425,21.5368,21.7478,23.1937,25.764,28.6188,29.2637,28.2425,26.3237,22.9378,19.4054,15.8721,14.7701,14.4709,18.1535,22.939,27.1551,28.372,
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2017,,,,0.692,0.9474,4.0686,7.4574,10.1606,12.4149,14.3804,15.9209,11.278,10.4268,9.5533,9.0493,9.1217,11.5058,14.2823,16.9294,19.7487,20.8966,22.204,23.9157,23.7085,24.9439,25.6667,25.2532,27.3413,22.3006,18.7662,19.0241,18.0099,19.4566,21.03,21.301,22.525,25.2782,28.1622,28.7923,27.5311,25.8473,22.6569,19.2592,15.5694,14.9717,14.5621,17.9926,21.7801,26.4202,27.5076,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1546,76.5363,75.2621,78.1609,73.8185,69.0034,74.4849,74.8896,71.6735,74.3519,74.8512,81.0058,81.5348,83.7457,82.3603,83.0434,81.5411,83.4735,84.0036,85.8928,84.4296,85.752,85.9221,88.1144,85.5702,86.7289,85.9799,87.5809,83.896,83.2666,82.3851,83.4693,81.3225,80.4157,82.1267,83.4361,80.4984,79.5098,80.4658,81.4406,80.3943,81.4321,80.1069,81.147,78.4829,81.986,79.375,74.0836,78.6769,81.4213,81.8134,80.8157,81.7858,81.2956,
Operating Margin,OPER_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9565,50.58,46.2527,59.7811,53.078,45.4749,43.3962,48.4527,36.0113,-62.7534,29.8732,32.9968,25.583,30.9983,36.5079,43.8298,42.9656,47.7663,43.6154,29.4209,26.3336,31.4943,32.415,43.8281,37.3467,42.4798,44.4587,51.8334,41.4218,47.216,49.5933,56.6759,45.5374,44.3126,42.1141,46.2339,22.0004,27.3955,40.7036,42.0169,33.2243,31.9099,37.4476,45.508,43.4756,42.5319,35.929,37.3764,30.5432,28.9987,20.4373,19.8943,25.2295,29.3509,40.2624,40.8467,37.9043,38.0001,
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5492,40.7328,40.6571,27.75,,,,,,207.4722,47.6127,61,67.2414,75.4786,55.6866,0,,,4.7766,71.7085,58.5644,61.0276,66.0558,67.5876,49.6981,57.7816,60.4462,66.9229,53.94,37.3913,19.3881,11.8721,,,35.7707,24.904,96.8421,74.2365,22.3939,56.0372,65.0344,61.6362,31.6048,,,-1572.1569,-367.2068,-410.757,,32.5464,125.6841,125.6607,84.3918,77.1352,
Pretax Margin,PRETAX_INC_TO_NET_SALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.446,44.581,39.7275,45.977,36.1059,-64.6115,29.477,31.8612,24.2112,30.0607,36.0119,43.7137,42.9656,47.6289,41.7109,28.9276,26.3054,31.4943,31.8152,43.7768,38.3872,42.7906,45.1291,51.4587,42.4303,48.1493,50.6971,57.5239,46.8828,44.3504,43.0684,47.1266,23.0948,28.6154,41.5194,43.4921,33.0439,32.8089,37.8808,46.5054,43.9532,43.034,36.4185,37.7239,31.9192,28.4019,20.1198,19.1171,25.5088,29.0415,41.059,41.9037,38.9055,38.6629,
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8741,26.8156,23.7945,26.702,19.3762,-13.2601,-4.6751,4.0379,15.0206,18.3673,21.0813,20.2321,25.6595,27.1821,25.1639,18.2031,14.451,17.7882,19.9067,26.742,32.2928,35.4723,37.4697,40.504,38.1474,41.7766,45.5751,32.9016,41.6848,38.5912,37.4226,40.6882,16.1106,15.4921,34.506,34.8591,27.6371,27.7091,36.544,39.9651,36.2883,35.7465,31.6925,30.5456,26.7486,23.201,15.8584,14.4629,19.9302,24.3383,33.922,34.9455,33.9295,34.4629,
Net Income Margin,PROF_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5362,29.9304,28.0514,34.3365,20.9302,17.7654,15.7233,18.1256,12.949,-13.2601,-4.6751,4.0379,14.8834,18.257,20.9325,20.1161,25.5396,27.079,25.039,18.0732,14.3664,17.6893,19.7956,26.6222,32.1813,35.3636,37.3698,40.4246,38.0852,41.7337,45.5461,32.8862,41.6764,38.5912,37.4226,40.6882,16.1106,15.4921,34.506,34.8591,27.6371,27.7091,36.544,39.9651,36.2883,35.7465,31.6925,30.5456,26.7486,23.201,15.8584,14.4629,19.9302,24.3383,33.922,34.9455,33.9295,34.4629,
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5362,29.9304,28.0514,34.3365,20.9302,17.7654,15.7233,18.1256,12.949,-13.2601,-4.6751,4.0379,14.8834,18.257,20.9325,20.1161,25.5396,27.079,25.039,18.0732,14.3664,17.6893,19.7956,26.6222,32.1813,35.3636,37.3698,40.4246,38.0852,41.7337,45.5461,32.8862,41.6764,38.5912,37.4226,40.6882,16.1106,15.4921,34.506,34.8591,27.6371,27.7091,36.544,39.9651,36.2883,35.7465,31.6925,30.5456,26.7486,23.201,15.8584,14.4629,19.9302,24.3383,33.922,34.9455,33.9295,34.4629,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4573,39.8496,40.1055,41.9231,46.3351,,115.8602,87.3267,37.9603,38.8991,41.4601,53.7168,40.2791,42.9293,39.6707,37.0736,45.0644,43.5192,37.4302,38.9128,15.8761,17.1024,16.9722,21.2883,10.0939,13.2353,10.1031,42.8035,11.0873,12.9857,13.1089,13.662,30.2412,45.8609,16.8918,19.8495,16.3624,15.544,3.5288,14.0636,17.4389,16.9344,12.9768,19.0285,16.1989,18.3118,21.1801,24.3454,21.8694,16.195,17.3823,16.6052,12.79,10.8632,
