GE US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,310,8,286,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1096,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.8462,205,161,89,79,56,,87,64,54,68,201,32,32,25,52,291,140,56,-347,6,7,2,297,3,29,696,205,1198,,522,1539,647,1112,-1275,1535,67,1728,1925,-292,199,674,659,1297,-11823,699,603,598,430,519,427,408,125,-101,-63,-136,-385,-249,-396,-402,-362,-204,
"Pretax Income (Loss), GAAP",PRETAX_INC,1396,1621,1488,1724,1515,1668,1525,1800,1420,1704,1457,1745,1566,949,1901,1871,1798,2345,2060,2628,2121,2636,2433,2751,2378,2896,2765,3036,2614,3283,2931,2591,2971,3595,3467,3709,3298,4208,3910,4526,4107,4996,4640,5130,4556,5597,4463,5433,5083,5697,5348,3089,4319,5082,5197,5616,4305,4927,5358,6908,4560,5659,5934,6946,5127,6080,5822,2952,6383,7287,5941,7917,5354,6632,5172,2624,2626,3122,1975,2574,2807,4172,3583,3540,7434,4536,3767,4520,3934,4187,4024,5269,4139,3733,3620,4659,3319,3076,3204,3878,1621,2612,2050,1903,238,3824,2074,2893,-53,1127,746,-12971,278,1236,-22962,331,1122,-296,-1249,368,6308,-1298,-1620,2580,238,-1037,584,-3467,-1180,-966,-232,2237,6492,1509,300,2009,1866,1447,1893
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,432,513,446,453,489,518,483,511,444,555,453,516,518,322,704,408,548,735,570,893,710,864,783,807,801,927,910,888,882,1069,850,175,1024,1084,1115,958,1089,1280,1165,1326,1417,1521,1350,1423,1437,1599,1123,1414,1489,1181,1177,-89,1035,1216,1099,965,982,816,1038,843,784,993,1112,1146,981,1063,875,1060,1232,1453,640,830,841,1054,539,-1382,-309,227,-484,-521,443,866,319,-591,3942,892,437,467,665,496,557,820,508,310,348,-490,619,192,401,188,6294,800,135,-742,-177,461,18,-766,-105,-38,-551,-1918,-50,505,52,-366,140,-181,41,552,54,-159,-483,102,142,-467,2,37,29,161,13,-65,271,253,139,421,318,125,198
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,964,1108,1042,1271,1026,1150,1042,1289,976,1149,1004,1229,1048,627,1197,1463,1250,1610,1490,1735,1411,1772,1650,1944,1577,1969,1855,2148,1732,2214,2081,2416,1947,2511,2352,2751,2209,2928,2745,3200,2690,3475,3290,3707,3119,3998,3340,4019,6097,4516,4171,675,3284,3866,4098,4651,3323,4111,4320,6021,3776,4666,4822,6383,4146,5017,4947,6172,5151,5834,5301,7087,4513,5578,4633,4006,2935,2895,2459,3095,2364,3306,3264,4131,3492,3644,3330,4053,3269,3691,3467,4449,3631,3423,3272,5149,2700,2884,2803,3690,-4673,1812,1915,2645,415,3363,2056,3659,52,1165,1297,-11053,328,731,-23014,697,982,-115,-1290,-184,6254,-1139,-1137,2478,96,-570,582,-3504,-1209,-1127,-245,2302,6221,1256,161,1588,1548,1322,1695
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,1799,0,0,0,-94,-86,-114,-126,730,-736,-71,-54,151,32,89,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,1015,0,0,0,215,0,372,0,0,0,,0,-405,-271,-85,2711,-513,-145,-117,-496,357,231,-448,109,47,322,165,145,21,194,-40,-20,366,101,1052,-633,-35,-194,65,240,197,553,-41,303,120,124,91,1785,-252,-661,-706,-1649,8936,2947,-630,-3759,308,541,105,0,239,146,106,-182,1441,63,-155,-163,-2663,-219,8093,-906,21,993,58,-161,2894,564,-602,338,-101,-264,-410,64,-1258,1219,-173,-3,-16,54,-147
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,194,-40,-20,366,101,1052,-633,-35,-194,65,240,197,553,-41,303,120,124,91,1785,-252,-661,-706,-1649,8936,2947,-630,-3759,308,541,105,0,239,146,106,-182,1441,63,-155,-163,-2663,-219,8093,-906,21,993,58,-161,2894,564,-602,338,-101,-264,-410,64,-1258,1219,-173,-3,-16,54,-147
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,964,1108,1042,1271,-773,1150,1042,1289,1070,1235,1118,1355,318,1363,1268,1517,1099,1578,1401,818,1411,1772,1650,1944,1577,1969,1855,2148,1732,2214,2081,2416,1947,2511,2352,2751,2209,2928,2745,3200,2690,3475,3290,3707,2675,3998,3340,4019,2579,4516,4171,3178,3069,3866,3726,4651,3323,4111,4320,6065,4181,4937,4907,3089,4659,5162,5064,2388,4794,5603,5749,6978,4466,5256,4468,3861,2914,2701,2499,3115,1998,3205,2212,4764,3527,3838,3265,3813,3072,3138,3508,4146,3511,3299,3181,3364,2952,3545,3509,5339,-13609,-1135,2545,6404,107,2822,1951,3659,-187,1019,1191,-10871,-1113,668,-22859,860,3645,104,-9383,722,6233,-2132,-1195,2639,-2798,-1134,1184,-3842,-1108,-863,165,2238,7479,37,334,1591,1564,1268,1842
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,14,20,16,32,27,19,,26,12,19,8,14,20,29,62,40,31,56,33,50,39,46,40,79,60,61,67,81,55,52,67,66,56,61,68,80,54,108,92,111,98,97,110,122,102,101,59,86,76,90,84,76,70,72,77,91,83,187,269,390,216,290,230,250,219,216,198,227,223,221,190,282,162,184,156,139,85,12,5,102,53,96,157,229,94,74,41,83,38,33,17,135,-16,166,-10,158,-47,0,-28,187,-36,225,39,103,-121,-86,-76,-8,-104,-38,-169,-53,34,-132,-90,99,57,-23,40,-6,34,-145,-51,3,4,-3,-73,1,28,19,4,16,-27,4,-14,0,27,2,-10
"Net Income, GAAP",NET_INCOME,950,1088,1026,1239,-800,1131,1042,1263,1058,1216,1110,1341,298,1334,1206,1477,1068,1522,1368,768,1372,1726,1610,1865,1517,1908,1788,2067,1677,2162,2014,2350,1891,2450,2284,2671,2155,2820,2653,3089,2592,3378,3180,3585,2573,3897,3281,3933,2503,4426,4087,3102,2999,3794,3649,4560,3240,3924,4051,5631,3965,4647,4677,3422,4440,4946,4866,6441,4571,5382,5559,6696,4304,5072,4312,3722,2829,2689,2494,3013,1945,3109,2055,4535,3433,3764,3224,3730,3034,3105,3491,4011,3527,3133,3191,3206,2999,3545,3537,5152,-13573,-1360,2506,6301,228,2908,2027,3667,-83,1057,1360,-10818,-1147,800,-22769,761,3588,127,-9423,728,6199,-1987,-1144,2636,-2802,-1131,1257,-3843,-1136,-882,161,2222,7506,33,348,1591,1537,1266,1852
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,75,75,75,75,75,75,75,0,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,289,152,33,181,34,182,36,184,37,185,39,187,40,188,42,190,43,192,46,194,72,57,52,56,52,67,73,97,145,58,91,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,950,1088,1026,1239,-800,1131,1042,1263,1058,1216,1110,1341,298,1334,1206,1477,1068,1522,1368,768,1372,1726,1610,1865,1517,1908,1788,2067,1677,2162,2014,2350,1891,2450,2284,2671,2155,2820,2653,3089,2592,3378,3180,3585,2573,3897,3281,3933,2503,4426,4087,3102,2999,3794,3649,4560,3240,3924,4051,5631,3965,4647,4677,3422,4440,4946,4866,6441,4571,5382,5559,6696,4304,5072,4312,3647,2754,2614,2419,2938,1870,3034,1980,4460,3433,3764,2343,3730,3034,3105,3491,4011,3527,3133,3191,3206,2999,3545,3537,5152,-13573,-1360,2506,6283,-61,2756,1994,3486,-117,875,1324,-11002,-1184,615,-22808,574,3548,-61,-9465,538,6156,-2179,-1190,2442,-2874,-1188,1205,-3899,-1188,-949,88,2125,7361,-25,257,1591,1537,1266,1852
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,950,1088,1026,1239,-800,1131,1042,1263,1058,1216,1110,1341,298,1334,1206,1477,1068,1522,1368,768,1372,1726,1610,1865,1517,1908,1788,2067,1677,2162,2014,2350,1891,2450,2284,2671,2155,2820,2653,3089,2592,3378,3180,3585,2573,3897,3281,3933,2503,4426,4087,3102,2999,3794,3649,4560,3240,3924,4051,5631,3965,4647,4677,3422,4440,4946,4866,6441,4571,5382,5559,6696,4304,5072,4312,3647,2754,2614,2419,2938,1870,3034,1980,4460,3433,3764,2343,3730,3034,3105,3491,4011,3527,3133,3191,3206,2999,3545,3537,5152,-13573,-1360,2506,6283,-61,2756,1994,3486,-117,875,1324,-11002,-1184,615,-22808,574,3548,-61,-9465,538,6156,-2179,-1190,2442,-2874,-1188,1205,-3899,-1188,-949,88,2125,7361,-25,257,1591,1537,1266,1852
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.1,-222.3,105.25,-29.9,41.6,33.8,-21.45,94.9,-360.35,1.3,-67.95,-2076.75,-99.35,213.85,123.8,200.85,-1227.15,85.15,37.7,-224.9,7.15,3.9,1.3,622.7,6276.25,538.85,674.9,927.865,740.35,-1261.65,648.05,968.5,1103,862,395,6966,478,846,24055,614,266,1667,1838,1493.65,-5964,166.5,1638.77,-1740,82,879,-12,4445,1167.7,1552,24.9661,-722,-5709.722,-370,-319.8193,-451,-616,10,-276
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,1799,0,0,0,-94,-86,-114,-126,730,-736,-71,-54,151,32,89,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,1015,0,0,0,215,0,372,0,0,0,,0,-405,-271,-85,2711,-513,-145,-117,-496,357,231,-448,109,47,322,165,145,21,194,-40,-20,366,101,1052,-633,-35,-194,65,240,197,553,-41,303,120,124,91,1785,-252,-661,-706,-1649,8936,2947,-630,-3759,308,541,105,0,239,146,106,-182,1441,63,-155,-163,-2663,-219,8093,-906,21,993,58,-161,2894,564,-602,338,-101,-264,-410,64,-1258,1219,-173,-3,-16,54,-147
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,1348.914,1336.791,1324.566,1312.9425,1307.7915,1305.6165,1302.609,1298.0355,1291.6605,1284.3,1281.261,1282.095,1281.9105,1280.949,1280.3115,1279.9395,1280.886,1282.785,1283.2605,1280.8605,1274.9415,1266.1147,1257.2632,1252.5,1247.3505,1241.6288,1236.6285,1234.1107,1231.875,1227.75,1225.875,1225.875,1225.875,1226.25,1225.5,1221.375,1227.1249,1228.7501,1230,1232.25,1233.75,1236.5,1238.25,1240,1241.75,1242,1241.625,1229.0625,1241.375,1242.75,1243.875,1245.5,1247.875,1251,1253.875,1256.75,1267.375,1298.375,1320.75,1322.5,1324.625,1325.5,1323.125,1315.75,1305.25,1295.25,1289.625,1286.75,1285.5,1283.5,1272.125,1256,1247.25,1244.75,1244.125,1307.625,1320.5,1326.125,1329.75,1332,1333.875,1335.625,1334.25,1329.5,1326.375,1325.5,1322.5,1320.75,1322.625,1321.75,1315.375,1305.875,1296.75,1282.875,1268.875,1261.25,1255.625,1253.875,1254.875,1256.25,1258.375,1260.875,1262.875,1218.125,1161,1134.875,1113,1099.375,1089.25,1083.875,1083.125,1084.5,1085.375,1086,1086.75,1087.5,1088.875,1090.5,1091.25,136.375,1092.75,1093.75,1094,136.875,1096.5,1097.5,1098,1099,1100,1099,1095,1091,1089,1089,1088,1088,1091,1089,1083
"Basic EPS, GAAP",IS_EPS,0.7067,0.8133,0.7733,0.9467,-0.6133,0.8667,0.8,0.9733,0.82,0.9467,0.8667,1.0467,0.2267,1.04,0.9467,1.16,0.8267,1.1867,1.0667,0.6,1.08,1.36,1.28,1.4933,1.2267,1.5467,1.44,1.68,1.36,1.76,1.6533,1.92,1.5467,2,1.8667,2.1867,1.76,2.32,2.16,2.5067,2.08,2.72,2.56,2.88,2.08,3.12,2.64,3.2,2,3.6,3.28,2.48,2.4,3.04,2.88,3.6,2.56,3.04,3.04,4.24,2.96,3.52,3.52,2.64,3.44,3.84,3.76,5.04,3.52,4.16,4.4,5.36,3.44,4.08,3.44,2.8,2.08,2,1.84,2.24,1.36,2.24,1.44,3.36,2.56,2.8,1.76,2.8,2.32,2.32,2.64,3.04,2.72,2.4,2.48,2.56,2.4,2.8,2.8,4.08,-10.8,-1.04,2,5.12,-0.08,2.4,1.76,3.2,-0.08,0.8,1.2,-10.16,-1.12,0.56,-20.96,0.56,3.28,-0.08,-8.64,3.945,5.6,-2.08,-1.09,17.76,-2.6211,-1.12,1.09,-3.55,-1.08,-0.86,0.08,1.95,6.76,-0.02,0.24,1.46,1.41,1.16,1.71
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,0.7067,0.8133,0.7733,0.9467,0.7667,0.8667,0.8,0.9733,0.7467,0.88,0.78,0.94,0.8,0.4667,0.8933,1.12,0.9467,1.2133,1.1333,1.32,1.08,1.36,1.28,1.4933,1.2267,1.5467,1.44,1.68,1.36,1.76,1.6533,1.92,1.5467,2,1.8667,2.1867,1.76,2.32,2.16,2.5067,2.08,2.72,2.56,2.88,2.4,3.12,2.64,3.2,2.8,3.6,3.28,2.48,2.56,3.04,3.2,3.6,2.56,3.04,3.04,4.24,2.72,3.28,3.44,4.64,3.04,3.68,3.68,4.64,3.84,4.4,4,5.44,3.52,4.32,3.6,2.88,2.08,2.08,1.76,2.16,1.68,2.32,2.24,2.88,2.48,2.64,1.84,3.04,2.4,2.8,2.64,3.28,2.8,2.56,2.56,3.92,2.16,2.32,2.24,2.88,-3.6,1.36,1.52,2.08,0.24,2.88,1.92,3.12,0.08,0.96,1.28,-10.32,0.24,0.64,-21.12,0.48,0.8,-0.24,-1.2,-2.6984,5.6,-1.2,-1.04,16.6648,0.0182,-0.56,0.54,-3.24,-1.16,-1.09,-0.29,2.01,5.6,1.1,0.08,1.46,1.39,1.21,1.57
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,0.7067,0.8133,0.7733,0.9467,0.7667,0.8667,0.8,0.9733,0.7467,0.88,0.78,0.94,0.8,0.4667,0.8933,1.12,0.9467,1.2133,1.1333,1.32,1.08,1.36,1.28,1.4933,1.2267,1.5467,1.44,1.68,1.36,1.76,1.6533,1.92,1.5467,2,1.8667,2.1867,1.76,2.32,2.16,2.5067,2.08,2.72,2.56,2.88,2.4,3.12,2.64,3.2,2.8,3.6,3.28,2.48,2.56,3.04,3.2,3.6,2.56,3.04,3.04,4.24,2.72,3.28,3.44,4.64,3.04,3.68,3.68,4.64,3.84,4.4,4.48,5.44,3.52,4.48,3.6,4.08,2.0325,1.9498,1.8682,2.1682,1.7075,2.3725,2.2564,2.9499,2.2902,2.6943,1.7694,1.4335,2.3678,2.9293,2.7169,3.4573,1.8661,2.6052,2.6163,3.7789,2.1934,2.3032,2.257,3.2841,1.3734,1.686,2.0199,2.8338,0.8504,1.7935,2.4682,4.0518,1.1246,1.7373,1.6849,-3.8894,0.6772,1.4033,1.0048,0.9425,1.0571,1.2719,0.427,8.2541,0.1949,-0.9321,0.4632,3.9525,0.093,0.2323,0.5383,0.8044,-0.1103,0.3085,-0.2713,1.3446,0.3611,0.7567,-0.2167,1.045,0.8295,1.2213,1.3195
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,1348.914,1336.791,1324.566,1312.9425,1307.7915,1305.6165,1302.609,1298.0355,1291.6605,1284.3,1281.261,1282.095,1281.9105,1280.949,1280.3115,1279.9395,1280.886,1282.785,1283.2605,1280.8605,1274.9415,1266.1147,1257.2632,1252.5,1270.2765,1266.372,1261.6072,1262.25,1257.75,1253.625,1252.875,1254,1250.625,1248.375,1246.875,1252.125,1247.7499,1249.0001,1249.875,1245.75,1254,1257,1258.5,1259.125,1258.375,1258.125,1255.625,1229.0625,1254.125,1253.625,1252.125,1250.8125,1255.5,1258.25,1260.625,1263.125,1273.25,1303.875,1326.25,1328.25,1330.125,1331.25,1327.875,1320.375,1310,1300,1293.5,1290.75,1289.625,1287.875,1276.875,1260.375,1250.75,1247.75,1246.25,1308.25,1320.5,1326.125,1329.75,1332.625,1335.875,1337.75,1336.375,1331.75,1330.125,1329.875,1325.875,1323.875,1326.375,1326.375,1321,1312.5,1304.125,1291,1277.875,1270.25,1265.375,1263.75,1264.875,1265.875,1258.375,1269.75,1271.625,1227.625,1172.875,1148.375,1127,1112.625,1101.375,1095,1091.5,1084.5,1087,1087.375,1086.75,1087.625,1088.875,1090.5,1091.25,136.375,1093.625,1093.75,1094,137.125,1100.875,1097.5,1105,1099,1100,1099,1095,1097,1097,1098,1099,1100,1103,1100,1093
"Diluted EPS, GAAP",IS_DILUTED_EPS,0.7067,0.8133,0.7733,0.9467,-0.6133,0.8667,0.8,0.9733,0.82,0.9467,0.8667,1.0467,0.2267,1.04,0.9467,1.16,0.8267,1.1867,1.0667,0.6,1.08,1.36,1.28,1.4933,1.2,1.52,1.4133,1.6533,1.3333,1.7333,1.6,1.8667,1.52,1.9733,1.84,2.1333,1.76,2.24,2.1333,2.48,2.08,2.72,2.56,2.88,2.08,3.12,2.64,3.12,2,3.52,3.28,2.48,2.4,3.04,2.88,3.6,2.56,3.04,3.04,4.24,2.96,3.52,3.52,2.56,3.44,3.84,3.76,4.96,3.52,4.16,4.32,5.36,3.44,4.08,3.44,2.8,2.08,2,1.84,2.24,1.36,2.24,1.44,3.36,2.48,2.8,1.76,2.8,2.32,2.32,2.64,3.04,2.72,2.4,2.48,2.56,2.4,2.8,2.8,4.08,-10.8,-1.04,2,5.12,-0.08,2.4,1.76,3.12,-0.08,0.8,1.2,-10.16,-1.12,0.56,-20.96,0.56,3.2,-0.08,-8.64,3.945,5.6,-2.08,-1.09,17.6,-2.6211,-1.12,1.08,-3.55,-1.08,-0.86,0.08,1.93,6.71,-0.02,0.23,1.45,1.39,1.15,1.7
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,0.7067,0.8133,0.7733,0.9467,0.7667,0.8667,0.8,0.9733,0.7467,0.88,0.78,0.94,0.8,0.4667,0.8933,1.12,0.9467,1.2133,1.1333,1.32,1.08,1.36,1.28,1.4933,1.2,1.52,1.4133,1.6533,1.3333,1.7333,1.6,1.8667,1.52,1.9733,1.84,2.1333,1.76,2.24,2.1333,2.48,2.08,2.72,2.56,2.88,2.4,3.12,2.64,3.12,2.8,3.52,3.28,2.48,2.56,3.04,3.2,3.6,2.56,3.04,3.04,4.24,2.64,3.28,3.44,4.64,3.04,3.68,3.68,4.64,3.84,4.32,4,5.44,3.52,4.32,3.6,2.88,2.08,2.08,1.76,2.16,1.68,2.32,2.24,2.88,2.48,2.64,1.84,2.96,2.4,2.72,2.64,3.28,2.8,2.48,2.56,3.92,2.16,2.24,2.24,2.8,-3.6,1.36,1.52,2.08,0.24,2.88,1.84,3.12,0.08,0.96,1.28,-10.32,0.24,0.64,-21.12,0.48,0.8,-0.24,-1.2,-2.6984,5.6,-1.2,-1.04,16.4259,0.0078,-0.56,0.54,-3.24,-1.16,-1.09,-0.29,1.99,5.56,1.09,0.08,1.44,1.38,1.2,1.56
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,0.7067,0.8133,0.7733,0.9467,0.7667,0.8667,0.8,0.9733,0.7467,0.88,0.78,0.94,0.8,0.4667,0.8933,1.12,0.9467,1.2133,1.1333,1.32,1.08,1.36,1.28,1.4933,1.2,1.52,1.4133,1.6533,1.3333,1.7333,1.6,1.8667,1.52,1.9733,1.84,2.1333,1.76,2.24,2.1333,2.48,2.08,2.72,2.56,2.88,2.4,3.12,2.64,3.12,2.8,3.52,3.28,2.48,2.56,3.04,3.2,3.6,2.56,3.04,3.04,4.24,2.64,3.28,3.44,4.64,3.04,3.68,3.68,4.64,3.84,4.32,4.48,5.44,3.52,4.48,3.6,4,2.011,1.9124,1.8392,2.1376,1.7075,2.3453,2.224,2.9499,2.2091,2.641,1.7694,1.3913,2.3678,2.8812,2.7169,3.433,1.859,2.546,2.5895,3.743,2.1656,2.2431,2.241,3.2841,1.3734,1.686,2.0199,2.8338,0.8504,1.7814,2.415,3.9905,1.0815,1.7373,1.6419,-3.8968,0.6772,1.4033,1.0048,0.9425,1.0443,1.2719,0.427,8.2541,0.1466,-1.0478,0.458,3.7367,0.0822,0.2323,0.5291,0.8044,-0.1103,0.3085,-0.2713,1.3318,0.3551,0.753,-0.2167,1.03,0.8215,1.2091,1.3075
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
